source,title,description,category,publishedAt
20 Minuten,Brand Reputation Study 2021 - Das sind die angesehensten Marken der Schweiz,"Zum sechsten Mal wurden in einer Studie die angesehensten Marken der Schweiz ermittelt. Obenaus schwingen viele Firmen, die sich in der Pandemie als Stützen der Wirtschaft erwiesen.",business,2021-05-10T18:20:03Z
Finews.ch,Bitcoin & Co: Die UBS beugt sich dem Kundenwunsch,"Die weltgrösste Privatbank ist Kryptowährungen bisher höchst skeptisch begegnet. Doch offenbar steht die UBS nun kurz davor, auf den Trend aufzuspringen.",business,2021-05-10T13:43:00Z
Telebasel.ch,"Biontech setzt dank Covid-Impfstoff 12,4 Milliarden Euro um","Grosserfolg dank Covid-19-Impfstoff: Das Mainzer Biotechunternehmen BioNTech erwartet aktuell einen Umsatz von 12,4 Milliarden Euro.",business,2021-05-10T12:50:27Z
Blick.ch,Autoindustrie: VW-Tochter Traton mit Auftragsrekord,"Die VW-Nutzfahrzeugtochter Traton hat zu Jahresauftakt so viele Bestellungen erhalten wie nie zuvor. Insgesamt orderten Kunden 81'700 Lastwagen und Busse, das ist ein Zuwachs um mehr als die Hälfte, wie das Unternehmen am Montag mitteilte.",business,2021-05-10T07:07:50Z
Tagesanzeiger.ch,Witzwährung geht um die Welt - Elon Musk und die grosse Dogecoin-Show,"Kennen Sie Dogecoin? Falls nicht, der Tesla-Gründer hat sie jetzt definitiv aus der Nerd-Ecke katapultiert. Was hinter dem Geld mit dem Hundebild steckt.",business,2021-05-10T07:06:49Z
Finews.ch,Archegos: Credit Suisse holt alten Prime-Brokerage-Chef zur Hilfe,"Die Credit Suisse hat den ehemaligen Chef ihres Prime Brokerage als Berater geholt. Er soll helfen, im Archegos-Debakel aufzuräumen.",business,2021-05-10T06:20:00Z
Blick.ch,EU-Vertrag mit Astrazeneca wird laut EU-Kommissar nicht verlängert,"Rückschlag für den Impfstofflieferanten AstraZeneca. Europa will künftig ohne dessen Vakzin die Corona-Pandemie bekämpfen. «Wir schauen, was passiert», sagt EU-Industriekommissar Thierry Breton.",business,2021-05-09T14:31:45Z
Cryptomonday.de,Bitcoin Kurs Durch- oder Zusammenbruch? XRP Kurs mit ungeahnten Potential und die Visa & Tala Partnerschaft - CryptoMonday | Bitcoin & Blockchain News | Community & Meetups,"Lese die spannendsten Bitcoin Kurs Prognosen, Ripple (XRP) News sowie weitere Altcoin News der aktuellen Woche.",business,2021-05-09T08:00:35Z
Blick.ch,"Porsche fährt beim Macan zweigleisig: Stromer kommt, Benziner bleibt",Die Neuauflage des Porsche-Bestsellers Macan kommt elektrisch. Jetzt gingen die ersten Prototypen auf die Teststrecke. Und wo bleiben künftig die Fans von Benzinmotoren?,business,2021-05-09T02:16:09Z
Www.nzz.ch,Ethereum Vitalik Buterin: Der Kopf hinter Krypto-Boom - Neue Zürcher Zeitung,"Vitalik Buterin krempelt mit Ethereum die Blockchain-Technologie um. Seine Kryptowährung gewinnt rasant an Wert, und er wird zum Milliardär. Was steckt dahinter?",business,2021-05-08T20:23:00Z
BLICK,"Ricola, Migros, TCS, Lindt, Rolex: Die renommiertesten Marken der Schweiz",Im letzten Jahr war die Schoggi-Marke Lindt & Sprüngli der König im Markenranking. In diesem Jahr kommt es aber zum Wechsel. Die Schweiz hat eine neue alte Nummer eins in der Markenwelt.,business,2021-05-10T14:06:13Z
BLICK,Neuer Skoda Fabia enthüllt: Der Kleinwagen gibt der Konkurrenz zu denken,"Nach dem elektrischen Enyaq und dem Octavia feiert mit dem neuen Fabia das nächste Skoda-Modell Weltpremiere, das der Konkurrenz einiges Kopfzerbrechen bereiten dürfte. Blick konnte den Kleinwagen bereits genauer unter die Lupe nehmen.",business,2021-05-10T08:59:22Z
20 Minuten,Doge-1 : Elon Musk will mit Meme-Währung Dogecoin zum Mond fliegen,2022 soll der Satellit Doge-1 zum Mond geschossen werden. Tech-Milliardär Elon Musk will die Meme-Währung Dogecoin damit – ganz real – zum Mond bringen.,business,2021-05-10T06:24:23Z
20 Minuten,Dogecoin-Kurs : Kryptowährung bricht während Musk-Auftritt zusammen,"Während Elon Musk bei «Saturday Night Live» zu Gast war, befand sich der Kurs der Krypto-Währung Dogecoin im freien Fall.",business,2021-05-09T10:14:04Z
aeroTELEGRAPH,Swiss-Abbau trifft auch Helvetic Airways,Swiss muss mehr sparen und verkleinert die Flotte deutlich. Das heißt auch für die Wet-Lease-Partnerin Helvetic Airways weniger Aufträge.,business,2021-05-06T15:22:00Z
20 Minuten,Viritech Apricale – Ein Hypercar mit Wasserstoff-Brennstoffzellentechnik,"Sportwagen mit Elektroantrieb haben wegen der grossen Akkus Gewichtsprobleme. Ein Start-up aus England will zeigen, dass es auch anders geht.",business,2021-05-06T13:00:00Z
finews.ch,"Immobilien: Die UBS zeigt, wo's am Eigenheim-Markt brenzlig wird",Die Eigenheim-Preise haben seit Jahresbeginn nochmals stark zugenommen. Die UBS lokalisiert nun erstmals die Gefahrenherde für Eigentümer und Käufer.,business,2021-05-06T11:59:00Z
Inside Paradeplatz,Finma weitet Impf-Insider-Ermittlung aus,Bankenaufsicht geht vor allem Deals von Covid-Experten mit Lonza-Aktien nach. Man stehe „mit diversen Akteuren im Austausch“.,business,2021-05-06T05:59:32Z
20 Minuten,Parallelimport – Coop importiert neues Coca-Cola Zero aus Polen,Coca-Cola Zero gibts bald mit neuem Geschmack. Noch vor dem offiziellen Schweizer Verkaufsstart importiert Coop das Getränk aus Polen. Damit erhöht der Detailhändler den Preisdruck auf den hiesigen Produzenten.,business,2021-05-06T02:48:24Z
