source,title,description
blick.ch,Lonza will Impfstoff-Fabrikation in Visp verdoppeln - BLICK,Lonza und Moderna wollen vorwärtsmachen. Die Pharmaunternehmen kündigen drei weitere Produktionslinien für Corona-Impfstoffe in Visp an. Damit soll die Impfstoff-Menge verdoppelt werden.
20 minuten,Quartalszahlen - Swiss macht 201 Millionen Verlust und prüft Verkleinerung der Flotte - 20 Minuten,"Die Schweizer Airline Swiss hat im ersten Quartal massiv Federn gelassen. Um konkurrenzfähig zu bleiben, müsse sich die Airline redimensionieren, sagt der CEO."
www.nzz.ch,"Swiss Steel, Brexit, Samsung - Neue Zürcher Zeitung","NZZ Nachrichten, Hintergründe, Meinungen aus der Schweiz, International, Sport, Digital, Wirtschaft, Auto & mehr. Fundierte Berichterstattung rund um die Uhr."
blick.ch,Credit Suisse-Chaos: EU verhängt Strafe und in USA droht Steuerstreit - BLICK,In den USA könnte ein alter Steuerstreit der Credit Suisse neu aufgekocht werden. Ausserdem verhängte die EU eine Strafe wegen Kartellabsprachen. Das sind die neusten Konflikte rund um die Grossbank.
blick.ch,Brabus B50: Die neue Mercedes S-Klasse mit mehr Power und Luxus - BLICK,"Noch ehe Haustuner AMG die neue Mercedes S-Klasse fetter macht, schnappt sich Brabus den Luxusliner. Die S-Klasse als B50 lockt mit Noblesse, aber spart an einem Detail."
btc-echo.de,Tesla macht's vor: Gibt Facebook heute den Bitcoin-Einstieg bekannt? - BTC-ECHO | Bitcoin & Blockchain Pioneers,Nach Tesla jetzt auch Facebook? Gerüchten zufolge gibt der Social-Media-Konzern heute den Bitcoin-Einstieg in den neuen Quartalszahlen bekannt.
blick.ch,Neuer CS-Präsident: Diese 5 Baustellen muss António Horta-Osório anpacken - BLICK,"Am Freitag, dem 30. April, küren die Aktionärinnen und Aktionäre der Credit Suisse einen neuen Präsidenten. António Horta-Osório übernimmt von Urs Rohner. Auf den Portugiesen wartet ein Haufen Arbeit."
20 minuten,Coronavirus – Novartis will 50 Millionen Dosen Corona-Impfstoff herstellen - 20 Minuten,"Der Pharmariese Novartis produziert für den Impfstoffhersteller Curevac. Im Gegensatz zu Lonza hat Novartis keine Probleme, qualifiziertes Personal zu finden."
bluewin.ch,Gericht bestätigt Manipulation von Stimmzetteln - bluewin.ch,"Damien Piller stand im Verdacht, sich mit Firmengeld bereichert zu haben. Er sollte deshalb bei einer Vertrauensabstimmung abgewählt werden. Der einflussreiche Migros-Regionalpräsident verhinderte dies mit unlauteren Mitteln."
finews.ch,UBS: Ralph Hamers startet den Stellenabbau - finews.ch,"Die weitere Digitalisierung der UBS wird in den kommenden Monaten wohl Tausende von Stellen kosten. Die Zurückhhaltung, die sich die UBS während der Corona-Pandemie auferlegt hatte, ist unter dem neuen CEO Ralph Hamers nun vorbei."
