source,title,description,category,publishedAt
blick.ch,Britney Spears soll laut ihrem Vater Jamie an Demenz leiden - BLICK,"Der Gerichtsstreit um die Vormundschaft von Britney Spears geht in die nächste Runde. Laut ihrem Vater Jamie kann die Pop-Sängerin nicht auf eigenen Beinen stehen, da sie an Demenz leide.",entertainment,2021-05-01T14:38:26Z
blick.ch,Amira Pocher wurde von Ex-Freund angegriffen - BLICK,"Amira Pocher spricht das erste Mal über Gewalt, die sind in einer Beziehung erleben musste. Unterstützung bekommt sie dabei von ihrer Psychotherapeutin.",entertainment,2021-05-01T12:57:36Z
blick.ch,Kader Loth gönnt sich nach Corona-Kampf ein neues Gesicht - BLICK,"Wegen ihrer Corona-Infektion hat Kader Loth harte Wochen durchgemacht. Nun geht es der Trash-TV-Ikone wieder besser. Ein Umstand, den sie sogleich mit einem Schönheitseingriff feiert.",entertainment,2021-05-01T08:12:13Z
blick.ch,Fiona Erdmann: Ex-«GNTM»-Kandidatin hat ihr Baby verloren - BLICK,Die ehemalige «Germany's Next Topmodel»-Kandidatin macht bei Instagram öffentlich: Sie hat ihr Baby in der 18ten Schwangerschaftswoche verloren.,entertainment,2021-05-01T02:09:56Z
www.nzz.ch,Marilyn Manson: Neue schwere Missbrauchsvorwürfe gegen US-Star - Neue Zürcher Zeitung,"Die britische Schauspielerin Esmé Bianco hat eine Zivilklage eingereicht: Sie wirft dem 14 Jahre älteren Sänger Körperverletzung, Vergewaltigung und emotionalen Missbrauch in den Jahren 2009 bis 2011 vor. Vor ihr haben bereits mehrere Frauen ähnliche Vorwürfe…",entertainment,2021-04-30T18:45:00Z
blick.ch,Jasmin Herren hat Streit mit Familie von Willi - BLICK,Selbst die Beerdigung bringt Willi Herrens Familie nicht wieder zueinander: Jasmin soll noch immer Streit mit den Angehörigen ihres Ehemanns habe.,entertainment,2021-04-30T18:05:05Z
blick.ch,Günther Jauch ist nach Corona-Erkrankung wieder fit; er hat es unterschätzt - BLICK,Günther Jauch meldet sich zurück. Der deutsche TV-Moderator hat seine Corona-Infektion überstanden.,entertainment,2021-04-30T15:22:04Z
20 minuten,Will Smiths Tochter Willow - «Ich will gleichzeitig mit einem Mann und einer Frau zusammensein» - 20 Minuten,"Willow Smith spricht erstmals offen darüber, dass Monogamie nichts für sie sei. Grund dafür ist unter anderem ihre Bisexualität.",entertainment,2021-04-30T12:23:14Z
www.rtl.de,GZSZ-Wochenvorschau ab 03. Mai 2021: Stößt Lilly auf ein dunkles Familiengeheimnis? - RTL Online,"Ein dunkles Geheimnis, ein falscher Kuchen und eine Presse-Dame sorgen bei GZSZ für Spannung.",entertainment,2021-04-30T10:00:42Z
schweizer-illustrierte.ch,Harry und Meghan gratulieren William und Kate «privat» - Schweizer Illustrierte,Prinz Harry und Herzogin Meghan haben Prinz William und Herzogin Kate zum zehnten Hochzeitstag gratuliert – anders als andere Familienmitglieder allerdings «ganz privat».,entertainment,2021-04-30T09:39:40Z
bluewin.ch,Bei Luca Hänni verdrehe ich seit zehn Jahren die Augen - bluewin.ch,"Kreischende Teenies fallen reihenweise in Ohnmacht, wenn Luca Hänni mit dem Colgate-Lächeln auf die Bühne schreitet. Und das seit 2012. Ich kann ihn nicht mehr sehen – und doch muss ich ihn respektieren.",entertainment,2021-04-30T09:33:21Z
www.nau.ch,Daniel Bumann verabschiedet sich mit Schimpf-Video - Nau.ch,Schock für Fans: Nach 101 Folgen hängt Daniel Bumann seinen TV-Job an den Nagel. Der Ex-Spitzenkoch verabschiedet sich mit einem Schimpf-Video.,entertainment,2021-04-29T19:55:00Z
blick,"Anne Douglas, die Stiefmutter von Michael Douglas ist mit 102 gestorben",Im Alter von 102 Jahren ist Anne Douglas gestorben. Sie war mit Kirk Douglas verheiratet und Stiefmutter von Michael Douglas.,entertainment,2021-04-30T08:09:00Z
gmx.ch,Schon wieder Hüllenlos-Shooting bei GNTM? Heidi setzt ihre Mädels Extremsituation aus,GNTM (ProSieben) im Couchticker: In Folge 13 wollte Heidi ihre Models in Extremsituationen erleben: Es wurde hüllenlos - und Bill Kaulitz war Gastjuror.,entertainment,2021-04-30T07:56:01Z
20 minuten,Elliot Page im Oprah-Interview,«Juno»-Schauspieler Elliot Page spricht ausführlich über seine Erfahrungen als nonbinärer trans Mann vor und nach seinem Coming-out.,entertainment,2021-04-30T02:41:07Z
blick,Tamara Berger: Megawatt half ihr durch die Krebserkrankung,Mit ihrem neuen Lied «Loieherz» geben Megawatt ihren Hörern Motivation für eine schwierige Aufgabe. Es gab auch Tamara Berger Kraft in der Behandlung gegen ihren Krebs.,entertainment,2021-04-29T23:33:03Z
blick,Thomas Gottschalk und Karina Mross schwärmen voneinander,"Thomas Gottschalk und Karina Mross haben ineinander ihren Traumpartner gefunden. Wie die beiden in einem seltenen Paar-Interview verraten, seien sie auch nach zwei Jahren noch verliebt wie am ersten Tag.",entertainment,2021-04-29T17:31:39Z
telebasel,"Zehn Jahre royale Traumhochzeit: ""Zu Hause einfach William und Kate""",Sie sind die Hoffnungsträger des britischen Königshauses. Prinz William (38) und seine Frau Herzogin Kate (39) feiern am Donnerstag ihren zehnten Hochzeitstag.,entertainment,2021-04-29T13:55:42Z
