source,title,description
www.nau.ch,Queen Elizabeth: Hier lächelt sie ihre Trauer um Gatte Philip weg - Nau.ch,Queen Elizabeth trauert um ihren Gatten Prinz Philip. Gestern widmete sich die Königin aber wieder ihren Royal-Pflichten.
www.nau.ch,Meghan Markle: Trump-Sohn macht sich über sie und Harry lustig! - Nau.ch,Meghan Markle und Harry haben einen 25-Millionen-Deal mit Spotify abgeschlossen – ganz zum Unmut von Musikern. Jetzt gibt Donald Trumps Sohn seinen Senf dazu.
www.nau.ch,Willi Herren: Fans enttäuscht über seinen TV-Abschied - Nau.ch,Willi Herren wurde letzte Woche tot in seiner Wohnung aufgefunden. Am Montag verabschiedete «Sat.1» den Realitystar – die Fans fanden die Aktion enttäuschend.
blick.ch,Heidi Klum soll «GNTM»-Konkurrenz von ihrem Vater Günther bekommen - BLICK,Seit 16 Staffeln sucht Heidi Klum Nachwuchsmodels in ihrer Casting-Show «Germany's Next Topmodel». Nun soll diese Konkurrenz bekommen – ausgerechnet von ihrem Vater Günther.
20 minuten,Rankin für Relate - In dieser sinnlichen Kampagne dreht sich alles um Sex im Alter - 20 Minuten,Über Intimität im Alter wird selten gesprochen. Mit seiner neuen Werbekampagne will Heidi Klums Lieblingsfotograf das ändern. Dafür hat Rankin ältere Menschen in intimen Momenten abgelichtet.
20 minuten,ProSieben-Moderator Daniel Aminati hat sich mit Eva Fischer verlobt - 20 Minuten,"Der deutsche Moderator Daniel Aminati verrät mit einem Kniefall-Foto auf Instagram, dass er sich mit Freundin Patrice Eva Fischer verlobt hat."
tagesanzeiger.ch,Vormundschaftsstreit mit dem Vater - Britney Spears sagt vor Gericht aus - Tages-Anzeiger,Zum Zwist mit ihrem Vater hat sich der Popstar bisher nur selten geäussert. Nun tut sie das vor Gericht – auf eigenen Wunsch.
www.nau.ch,Prinz Andrew macht Geschäfte mit umstrittenem Banker - Nau.ch,Nach dem Epstein-Skandal wird Prinz Andrew erneut in Verbindung mit einem Grüsel gebracht. Er hat mit einem Belästigungsbanker eine Firma gegründet.
www.nau.ch,Sängerin Adele zeigt sich erstmals seit Monaten - Nau.ch,Von Sängerin Adele hat man länger nichts mehr gehört. Bei einer Oscar-Party liess es sich die britische Sängerin im auffälligen Look nun gut gehen.
blick.ch,Die Schweiz hat ihn: Max Vetter vom Baur au Lac ist weltbester Rezeptionist - BLICK,"Ein freundliches «Willkommen» reicht nicht, um zum besten Rezeptionisten der Welt gekürt zu werden. Was es dazu braucht, weiss einer ganz genau: Max Vetter (27) vom Zürcher Luxushotel Baur au Lac."
blick.ch,Harry und Meghan fordern faire Verteilung der Corona-Impfstoffe - BLICK,"In einem Statement fordern Prinz Harry und Herzogin Meghan, dass die Corona-Impfstoffe gerecht an alle Menschen verteilt werden."
blick.ch,Prinz Harry geschockt vom frostigem Empfang bei seiner Familie - BLICK,Zwischen Prinz Harry und seiner Familie herrschte lange Zeit Funkstille. Bei der Beerdigung seines Grossvaters Prinz Philip trafen die Royals erstmals wieder aufeinander. Das Treffen soll alles andere als warmherzig verlaufen sein.
telebasel.ch,International Niemand will Prinz Andrew in «The Crown» spielen - Telebasel,"Prinz Andrew ist in Grossbritannien unbeliebt: So unbeliebt, dass die Macher von «The Crown» Mühe haben seine Rolle zu besetzen."
blick.ch,Pietro Lombardi zeigt sein neues Luxus-Heim - BLICK,Pietro Lombardi hat sein Traumhaus gefunden. Am Wochenende hat der Sänger die Schlüssel zu seiner neuen Villa bekommen. Und seine Fans mussten nicht lange auf eine Besichtigung warten.
bluewin.ch,Sogar von uns Schweizern klaut Hollywood unverfroren - bluewin.ch,"Da wird fröhlich geklaut: Hollywood erdreistet sich seit jeher, europäische Kassenschlager neu zu verfilmen. Der jüngst oscarprämierte Film «Der Rausch» scheint nun als Nächstes dran zu sein."
watson.ch,"Sami, Joe und ich: Die Schweiz hat einen neuen Teenie-Film - watson","Eigentlich wollen die drei Freundinnen in «Sami, Joe und ich» den geilsten Sommer ihres Lebens feiern. Doch was dann geschieht ..."
20 minuten,«Game of Thrones»-Star Emilia Clarke veröffentlicht feministischen Comic - 20 Minuten,"Die britische «Game of Thrones»-Ikone hat eine dreiteilige Comic-Reihe angekündigt. «M.O.M.: Mother of Madness» handelt von Superheldin Maya, einer alleinerziehenden Mutter."
20 minuten,"Natascha Kampusch - «Der plötzliche Verlust der Freiheit, damit bin ich gut vertraut» - 20 Minuten",Vor fünfzehn Jahren gelang Natascha Kampusch die Flucht vor ihrem Entführer. In einem Interview spricht die 33-Jährige über ihr Leben.
watson.ch,Wer wird Millionär: Pfarrer zockt sich bei Günther Jauch zu viel Geld - watson - watson,Bei Günther Jauch sass am Montag ein katholischer Pfarrer auf dem Stuhl. Dieser zockt sich bei «Wer wird Millionär?» kurzerhand zu 32'000 Euro durch.
20 minuten,«Du weisst es doch besser» - Nicht alle feiern Justin Biebers neue Dreadlocks - 20 Minuten,Justin Bieber hat auf Instagram Fotos seiner neuen Frisur gepostet. Die Dreadlocks des Popstars kommen nicht durchwegs gut an.
blick,Wenn Charles König ist: Werden Harry und Meghan als Royals weggespart?,"Herzogin Meghan und Prinz Harry arbeiten nicht mehr für die britische Königsfamilie. Ihre Titel tragen sie dennoch noch. Ist damit Schluss, wenn Prinz Charles auf dem Thron sitzt?"
blick,Ronnie Wood: Rolling-Stones-Gitarrist kämpfte heimlich gegen Krebs,Ronnie Wood besiegte vor vier Jahren Lungenkrebs. Nun offenbart der Rolling-Stones-Gitarrist eine zweite Krebserkrankung.
gmx.ch,Aus für Harry und Meghan? Prinz Charles will wohl das Königshaus umstrukturieren,"Angeblich beschäftigt sich Prinz Charles damit, das Königshaus umzustrukturieren. Das würde womöglich den endgültigen Ausschluss von Harry und Meghan bedeuten."
