source,title,description,category,publishedAt
Heilpraxisnet.de,Ist COVID-19 eine ganz andere Krankheit als bisher angenommen?,"Was für eine Erkrankung ist COVID-19 wirklich? Bei COVID-19 scheint es sich um eine Gefäßerkrankung zu handeln, und nicht etwa um eine Art Atemwegserkrankung, welche durch ein Erkältungsvirus hervorgerufen wird. Die neuen Erkenntnisse helfen, die Vielzahl der…",health,2021-05-09T10:38:47Z
Augsburger Allgemeine,Vorsicht: Schuppenflechte bei Kindern kontrollieren,"Eltern aufgepasst: Wenn Kinder oder Jugendliche an Schuppenflechte leiden, liegt bei ihnen gleichzeitig ein erhöhtes Risiko für andere Krankheiten vor. Daher...",health,2021-05-09T10:27:22Z
Augsburger Allgemeine,Blutdruck immer morgens vor Medikamenteneinnahme messen,"Wer Probleme mit dem Blutdruck hat, sollte sich angewöhnen, diesen immer morgens zu messen - und zwar noch bevor Medikamente eingenommen werden. Nur so lässt...",health,2021-05-09T10:26:48Z
Augsburger Allgemeine,"""Dreck reinigt den Magen"" - Stimmt das eigentlich?","Zack, und schon liegt das Butterbrot auf dem Boden. In dieser oder einer ähnlichen Situation hat wohl jeder schon mal den Satz ""Dreck reinigt den Magen"" gehört....",health,2021-05-09T09:28:49Z
Augsburger Allgemeine,Ficus Ginseng mag abgestandenes Leitungswasser,Der Ficus Ginseng braucht keine Extratour: Anders als andere Bonsai-Arten kommt der Ginseng auch ohne spezielle Bonsai-Erde aus. Aufpassen müssen Hobbygärtner...,health,2021-05-09T08:35:26Z
Augsburger Allgemeine,Urteil: Irreführende Werbung für E-Zigaretten unzulässig,Der Konsum von E-Zigaretten ist nicht unbedenklich - irreführende Werbeslogans wurden deswegen per Gerichtsurteil für unzulässig erklärt. Bislang ist nämlich...,health,2021-05-09T08:29:09Z
Augsburger Allgemeine,Kleister aus Kartoffeln herstellen,"Der Baumarkt hat schon geschlossen, und Klebstoff fehlt? Eine Kartoffel ist die Lösung. Aus ihrer Stärke lässt sich Kleister gewinnen. So geht es:",health,2021-05-09T06:55:11Z
Augsburger Allgemeine,Nutzlose Narben: Fibrosen hindern die Arbeit der Organe,"Sie sind weit verbreitet. Und sie nehmen mit der alternden Gesellschaft zu: Fibrosen schädigen Leber, Lunge, Niere oder Herz. Die gute Nachricht: Nimmt man...",health,2021-05-09T06:52:15Z
Augsburger Allgemeine,Krankenkasse muss im Zweifel für teure Prothesen zahlen,"Kommt eine Prothese zum Einsatz, ist die Rechnung für die Krankenkasse meist hoch. Das darf allerdings keine Rolle spielen, wenn das Hilfsmittel für den...",health,2021-05-09T05:41:58Z
Augsburger Allgemeine,Schilder und regelmäßige Kontrollen bei Steinschlaggefahr,Manche Strecken stellen für Autofahrer eine nicht zu unterschätzende Gefahr dar: Steinschlag kann ein Fahrzeug oft erheblich beschädigen. Ein Bundesland kann...,health,2021-05-09T05:03:47Z
Augsburger Allgemeine,Die Rückkehr immer mitdenken - Für die Firma ins Ausland gehen,"Mehrere Monate oder gar Jahre für die Firma im Ausland zu arbeiten, erfordert Einsatz. Elisabeth Satzger weiß das aus eigener Erfahrung: Für ihren Arbeitgeber,...",health,2021-05-09T04:33:53Z
Augsburger Allgemeine,Vor dem Leistungssport mit Kindern zum Gesundheits-Check,"Erst zum Arzt, dann zum Sport: Das sollten Eltern beachten, wenn sich ihre Kinder für ein leistungsorientiertes Training entscheiden. Denn die Mediziner...",health,2021-05-09T01:04:42Z
Augsburger Allgemeine,Sekundäres Lymphödem: Die Krankheit nach der Krankheit,"Bei Krebs sind häufig schwerwiegende Behandlungen nötig. Manchmal fordern sie ihren Tribut: Werden Lymphknoten entfernt oder Lymphgefäße beschädigt, können...",health,2021-05-08T23:58:41Z
Augsburger Allgemeine,Rituale und Komplizen - So bleiben Patienten der Therapie treu,"Bonn (dpa/tmn) ? Vielen Menschen fällt es schwer, Medikamenteneinnahmen und andere Verordnungen der Ärzte zu befolgen. Solche Probleme sollten Betroffene offen...",health,2021-05-08T23:54:40Z
Augsburger Allgemeine,Studie: Stress kann ansteckend sein,"Gähnen ist ansteckend, das wissen wir. Nun haben Forscher herausgefunden: Auch Stress kann sich auf andere Menschen übertragen - besonders, wenn man die Person...",health,2021-05-08T23:45:46Z
Augsburger Allgemeine,Die Fastenzeit endet zu Ostern: Bloß nichts überstürzen!,"Die Fastenzeit ist nach 40 Tagen zu Ende. Wer durchgehalten hat, freut sich nun, nicht mehr verzichten zu müssen. Aber Vorsicht: Der Körper braucht eine gewisse...",health,2021-05-08T23:27:19Z
