source,title,description
heilpraxisnet.de,COVID-19-Therapie: Remdesivir durch Hepatitis-C-Mittel zehnfach wirksamer - Heilpraxisnet.de,Wirksamkeit von Remdesivir durch Hepatitis-Medikamente verstärkt Das Medikament Remdesivir war eine große Hoffnung in der frühen Phase der Pandemie. In frühen klinischen Studien erwies sich das Mittel zur Behandlung von COVID-19 als effektiv. In der Praxis ze…
frankfurt-live.com,Corona und Diabetiker - Frankfurt-Live.com,"Personen mit Diabetes haben ein erhöhtes Risiko für eine schwerwiegende COVID-19-Erkrankung im Vergleich zu Personen ohne Diabetes. Die Frage stellt sich,"
t-online.de,Darmkrebs: Mit der Fünferregel das Krankheitsrisiko senken - t-online,"Fünf Lebenstilfaktoren, die jeder beeinflussen kann, reduzieren das Risiko, an Darmkrebs zu erkranken. Das gilt auch bei genetischer Vorbelastung."
pharmazeutische-zeitung.de,Multiresistente Tuberkulose: Ein schnellerer Weg zur wirksamen Therapie - Pharmazeutische Zeitung online,Welche Substanzen wirken noch? Diese Frage ist für die Therapie der multiresistenten Tuberkulose entscheidend. Bis zur Antwort vergeht bislang oft vie...
www.hna.de,Insulinresistenz vor Diabetes: Symptome erkennen und rechtzeitig gegensteuern - HNA.de,"Wer Diabetes frühzeitig erkennt und behandelt, beugt Krankheiten wie Schlaganfall vor. Erfahren Sie hier mehr über die Frühwarnsignale einer Insulinresistenz."
fit for fun,Ernährungsexperten raten: So viel Vitamin B12 solltest du täglich zu dir nehmen - FIT FOR FUN,"Die Deutsche Gesellschaft für Ernährung empfiehlt einen bestimmten Richtwert für die tägliche Vitamin B12-Aufnahme. Wer dauerhaft keine ausreichende Menge des Vitamins aufnimmt, riskiert dabei gesundheitliche Schäden."
www.hna.de,Corona: Forscher untersuchen Sars-Cov-2-Viren: Darum sind sie gefährlicher als gewöhnliche Coronaviren - Kreisbote,"Ein Forscherteam hat offenbar den Grund gefunden, warum das Sars-Cov-2-Virus im Vergleich zu anderen Coronaviren so gefährlich für den Menschen sein kann."
www.nau.ch,Pfizer-Pille gegen Corona kommt vielleicht schon 2021 - Nau.ch,Kommt noch in diesem Jahr ein «Game Changer» im Kampf gegen das Coronavirus auf den Markt? Pfizer arbeitet zurzeit an einer Pille gegen Covid-19.
faz.net,Vier Dosen gegen einen Parasiten - FAZ - Frankfurter Allgemeine Zeitung,"Die Weltgesundheitsorganisation sieht Erfolge mit dem Malaria-Impfstoff RTS,S. In den vergangenen zwei Jahren wurden 1,7 Millionen Dosen verimpft. Umstritten bleibt allerdings unter anderem die geringe Wirksamkeit."
aponet.de,Krebsrisiko: Einsamkeit so gefährlich wie Rauchen - aponet.de,Laut einer Studie aus Finnland betrifft das vor allem Männer im mittleren Lebensalter.
