source,title,description,category,publishedAt
Schweizer Radio und Fernsehen (SRF),Prozess im Kanton Solothurn - Vater wird der vorsätzlichen Tötung seines Babys freigesprochen,"Es ist ein Fall, der sich – trotz verdeckten Ermittlungen – vor allem auf Indizien stützt. Nun ist ein Urteil gefällt.",nation,2021-05-06T16:05:00Z
BLICK,Flüge in den Balkan nehmen zu,Rückkehrer aus den meisten Balkan-Ländern müssen ab heute nicht mehr in Quarantäne. Das freut vor allem die Balkan-Airlines. Erste Flüge sind schon ausgebucht.,nation,2021-05-06T14:37:18Z
BLICK,"Swiss: ""Das Ausmass des Jobabbaus ist niederschmetternd""",Die angekündigte Massentlassung bei der Swiss trifft das Kabinenpersonal besonders hart. 400 Flugbegleiterinnen und Flugbegleiter könnten ihren Job verlieren. Jetzt spricht die Kapers-Präsidentin Klartext.,nation,2021-05-06T13:11:49Z
BLICK,Video zeigte Verhaftung in Lugano: Jetzt werden zwei Polizisten angeklagt,Sie wurden übel beleidigt und gefilmt. Doch jetzt werden zwei Polizisten wegen einer rabiaten Verhaftung im Dezember 2020 in Lugano TI angeklagt. Ihnen wird Amtsmissbrauch und Tätlichkeit vorgeworfen. Das Video machte im Netz die Runde.,nation,2021-05-06T11:23:31Z
BLICK,24. Bieler Fototage zeigen ein Bild der heutigen Gesellschaft,"Elf Standorte, 23 Ausstellungen, darunter zehn Weltpremieren und sechs Schweizer Premieren: Am Freitagabend startet die 24. Ausgabe der Bieler Fototage. Der inhaltliche Schwerpunkt liegt auf der heutigen Gesellschaft.",nation,2021-05-06T10:43:52Z
BLICK,Ex-Basler-Pnos-Chef Tobias Steiger verurteilt,"Tobias Steiger, ehemaliger Basler Sektionschef der Pnos, wurde wegen antisemitscher Äusserungen zu einer bedingten Geldstrafe verurteilt.",nation,2021-05-06T10:17:19Z
20 Minuten,"Winterthur : BMW-Raser (30) schrottet Radar, nun muss er ins Gefängnis",Mit fast 100 km/h wurde ein Aargauer in Winterthur innerorts geblitzt. Danach beschädigte er den Radarkasten. Nun wurde er verurteilt.,nation,2021-05-06T09:13:34Z
BLICK,Zürcher Verwaltungsgericht erklärt Kundgebungsverbot für verfassungswidrig,"Der Zürcher Regierungsrat entschied im März, dass Kundgebungen mit mehr als 15 Personen verboten bleiben. Nun sagt das Zürcher Verwaltungsgericht: Der Entscheid verstösst gegen die Bundesverfassung.",nation,2021-05-06T09:05:40Z
BLICK,Wie Schweizer Forscher Corona entschlüsseln wollen,Unter strengsten Sicherheitsregeln infizieren Forschende in einem Berner Labor menschliche Zellen mit dem Coronavirus. Sie wollen die Folgen der durch Sars-CoV-2 verursachten Entzündungsreaktionen im Herz-Kreislauf-System entschlüsseln.,nation,2021-05-06T06:54:39Z
BLICK,EU-Rahmenabkommen: Bereitet der Bundesrat den Abbruch vor?,Keine Lösung in Sicht: Der Bundesrat soll sich auf ein Scheitern des Rahmenabkommens mit der EU einstellen. Darauf deutet eine Aussprache mit den Kantonen hin.,nation,2021-05-06T06:36:03Z
