source,title,description
telebasel,33 abgelaufene Moderna-Impfdosen im Tessin verabreicht,"In einem Impfzentrum in Bellinzona haben 33 Personen eine Impfdosis von Moderna erhalten, die bereits abgelaufen war."
blick,Angespannte Covid-Situation am Kantonsspital Winterthur,"Während der Bundesrat weitere Lockerungen bewilligt hat, kämpft man im Kantonsspital Winterthur noch immer verzweifelt gegen die dritte Welle. Die Patientenzahlen steigen wieder an – die Mitarbeiter sind erschöpft."
20 minuten,Amtsgeheimnis-Missbrauch : Alt-Bundesrat Moritz Leuenberger entgeht Strafuntersuchung,Die Bundesanwaltschaft erhebt keine Anklage gegen Moritz Leuenberger. Das hat der Bundesrat am Mittwoch entschieden.
blick,"Stadtklima-Initiativen lanciert: Strassen weg, Grünflächen her!","Die Städte leiden besonders unter steigenden Temperaturen. Für Abhilfe sollen zwei Initiativen sorgen, die in verschiedenen Städten lanciert werden. Zehn Prozent der Strassenfläche sollen umgewandelt werden."
blick,Sitten: Walliser bei Tauchgang tödlich verunglückt,Ein Passant entdeckte am Dienstag eine treibende Leiche auf einem Baggersee in Sitten. Bei dem Verstorbenen handelte es sich um einen verunglückten Taucher.
schweizer radio und fernsehen (srf),Rückruf Banknoten-Serie 8 - Nationalbank ruft alte Banknoten zurück,Fortan sind die Scheine der Banknoten-Serie aus dem Jahr 1998 kein Zahlungsmittel mehr. Doch sie behalten ihren Wert.
20 minuten,2. Prozesstag in Solothurn,"Ein Vater soll seinen Sohn erstickt und seine Tochter schwer verletzt haben. Jahrelang ermittelten die Behörden, nun kommt es in Solothurn zum Prozess."
telebasel,Mädchen (3) stürzt aus Fenster im 2. Stock,Am Dienstagabend ist in Wattwil SG ein dreijähriges Mädchen aus einem Fenster im zweiten Stock gefallen. Es wurde von der Rega ins Spital geflogen.
telebasel,Mädchen (3) stürzt aus Fenster im 2. Stock,Am Dienstagabend ist in Wattwil SG ein dreijähriges Mädchen aus einem Fenster im zweiten Stock gefallen. Es wurde von der Rega ins Spital geflogen.
20 minuten,Immobilienmarkt - Schweizer wollen wegen Corona-Pandemie aufs Land,Die Corona-Pandemie hat die Wohnbedürfnisse der Schweizerinnen und Schweizer verändert. Immer mehr wollen aufs Land ziehen. Auch hat der Wunsch nach Balkon und Garten stark zugenommen.
