source,title,description
telebasel,Corona verhagelt die Baselbieter Staatsrechnung,"Statt einem budgetierten Gewinn von 38,5 Millionen Franken resultierte in der Erfolgsrechnung ein Verlust von 52 Millionen Franken."
telebasel,Hilferuf von Schweizer Kinder- und Jugendverbänden,Schweizer Kinder- und Jugendorganisationen fordern in einem Appell dringend Perspektiven für die junge Generation in und nach der Covid-19-Pandemie.
telebasel,Hilferuf von Schweizer Kinder- und Jugendverbänden,Schweizer Kinder- und Jugendorganisationen fordern in einem Appell dringend Perspektiven für die junge Generation in und nach der Covid-19-Pandemie.
blick,Corona wirbelt Bonität um: Käser kreditwürdiger als Banker,"Wer ist in der Schweiz am kreditwürdigsten? Nicht etwa Anwälte, Bänker oder Informatiker. Es sind Milchtechnologen und Käser. Schuld daran ist die Corona-Pandemie."
blick,Thurgau sortiert Tausende Impf-Drängler aus,"Polen, Deutschland, USA: Im Kanton Thurgau melden sich tausende Impf-Drängler aus der ganzen Welt an. Die Verantwortlichen brauchen hunderte Stunden, um die Anmeldungen zu sortieren."
telebasel,Kassensturz bei den Härtefallgeldern in den beiden Basel,"Härtefallgelder fliessen schon seit einiger Zeit, wir haben mal nachgerechnet wo die beiden Basel stehen."
telebasel,"Veranstalter begrüssen ""dringend nötigen Lichtblick""",Der Bundesrat stellt ab Juli Grossanlässe in Aussicht. Die Organisatoren und Verbände sehen damit ein Licht am Ende des Tunnels.
telebasel,33 abgelaufene Moderna-Impfdosen im Tessin verabreicht,"In einem Impfzentrum in Bellinzona haben 33 Personen eine Impfdosis von Moderna erhalten, die bereits abgelaufen war."
blick,Aargauer Arztpraxen impfen gegen Corona,"Im Kanton Aargau impfen ab kommender Woche Hausärzte ihre eigenen Patienten. Damit steigt die Impfkapazität auf rund 40'000 Impfungen pro Woche, teilt der Kanton mit."
blick,Angespannte Covid-Situation am Kantonsspital Winterthur,"Während der Bundesrat weitere Lockerungen bewilligt hat, kämpft man im Kantonsspital Winterthur noch immer verzweifelt gegen die dritte Welle. Die Patientenzahlen steigen wieder an – die Mitarbeiter sind erschöpft."
