source,title,description
20 minuten,Israel – Massenpanik bei israelischer Glaubensgemeinschaft «Toldot Aharon»,Bei den meisten Verstorbenen handelt es sich um Angehörige einer strenggläubigen jüdischen Glaubensgemeinschaft. Wer ist die Gemeinschaft Toldot Aharon?
20 minuten,Umstrittenes Projekt : Roboterhund der New Yorker Polizei geht schon in Rente,Die New Yorker Polizei wird den Einsatz ihres Roboterhundes einstellen. «Digidog» hatte eine Episode der dystopischen Netflix-Serie «Black Mirror» inspiriert.
20 minuten,Aufgemalte Maske : «Witz» von Youtube-Influencern geht nach hinten los – ihnen droht Ausweisung aus Bali,"Ein Video, das sie in einem Supermarkt auf Bali drehten, könnte für eine Youtuberin aus Russland und einen Youtuber aus den USA unangenehme Folgen haben."
20 minuten,"Fall Neumair : «Er ist erleichtert, weil eine seiner unzähligen Lügen wahr ist»","Am Donnerstag wird die Autopsie an der Leiche von Peter Neumair durchgeführt. Tochter Madé beschreibt in einem öffentlichen Brief, wie sie den Tag des Leichenfunds empfand."
blick,Dubai will ab Herbst riesiges Oktoberfest durchführen,"In den Vereinigten Arabischen Emiraten brauchte man bis vor Kurzem eine Lizenz, um Alkohol zu trinken. Nun will die Wüstenstadt Dubai bereits ein Oktoberfest organisieren, welches das Münchner-Original in den Schatten stellen soll."
blick,Wegen aufgemalter Maske: Influencer sollen aus Bali abgeschoben werden,"Eine Youtuberin malt sich eine Gesichtsmaske auf und schafft es so, einen Laden auf Bali zu betreten. Der Schwindel fliegt auf. Nun droht der Frau und ihrem Kollegen die Abschiebung."
20 minuten,Folge der Pandemie : Oktoberfest soll dieses Jahr in Dubai statt in München steigen,Das bierselige Oktoberfest soll nach den Plänen der Veranstalter umziehen – nach Dubai. Dort soll auf 420’000 m² sechs Monate lang gefeiert werden.
20 minuten,Kinderpornografie-Prozess - Ex-Fussballer Metzelder zu zehn Monaten Haft auf Bewährung verurteilt,Im Prozess um den Besitz und die Weitergabe von Kinderpornografie hat der ehemalige Profifussballer Christoph Metzelder ein Teilgeständnis abgelegt.
schweizer radio und fernsehen (srf),Drohung mit Militärputsch - Rechte Ex-Generäle sehen Frankreich am Abgrund,"Das Land stehe vor dem Zerfall, es brauche einen Armeeeinsatz in den Banlieues. Das sorgt für hohe Wellen."
schweizer radio und fernsehen (srf),Verfolgung durch Justiz - Nawalnys Organisation stellt Arbeit ein,"Die Organisation des Kremlkritikers löst sich auf, derweil wurde Nawalny selbst per Video einem Verfahren zugeschaltet."
blick,Registrierungsprogramm ist ihnen zu kompliziert,Mit dem Impftool Vacme will die Gesundheitsdirektion des Kantons Zürich das Datenpuff vereinheitlichen. Doch das Programm kommt bei den Hausärzten im Kanton weniger gut an. Viele wollen gar die Spritze hinschmeissen und keinen Corona-Piks in der Praxis mehr anbieten.
blick,Coronavirus: Migros Aare sorgt für Impfung ihrer Mitarbeiter und Familien,"Den Anfang macht die Migros Genossenschaft Aare. Sie plant eine betriebliche Impfaktion für die Mitarbeitenden und deren Familien. Diese Ankündigung kommt einer Kehrtwende gleich, hat Migros-Chef Zumbrunnen im Blick-Interview doch gesagt, dass Impfen Privatsache sei."
pressebox,Neue Umgebung von Hot Wheels Unleashed im Trailer vorgestellt,"Koch Media GmbH, Mattel und Milestone veröffentlichen heute einen neuen Gameplay-Trailer von Hot Wheels Unleashed, der die zweite atember…"
telebasel,Umfrage zeigt: Voraussichtliche Zustimmung zu allen fünf Vorlagen,Bei der eidgenössischen Abstimmung am 13. Juni zeichnet sich bei allen fünf Vorlagen ein Ja ab. Dabei zeigte sich eine starke Links-Rechts-Polarisierung.
finews.ch,Aufstieg und Fall von Credit-Suisse-Präsident Urs Rohner,"Er trat als strahlender und erfolgsgewohnter Manager an, um seine Karriere in einer Schweizer Grossbank zu krönen. Nun tritt Urs Rohner unter heftiger Kritik zurück und hinterlässt eine Bank mit ihren Mitarbeitenden, die derzeit gänzlich destabilisiert ist und vorläufig keinerlei Perspektiven hat. Wie es dazu gekommen ist."
schweizer radio und fernsehen (srf),Unglück an Pilgerfest - Mindestens 44 Tote bei Massenpanik auf jüdischem Fest in Israel,In Meron im Norden des Landes ist eine Massenpanik ausgebrochen. Neben den Toten wurden Dutzende teils schwer verletzt.
schweizer radio und fernsehen (srf),Demonstrationen während Corona - Stadtpolizeien bereiten sich für Ausschreitungen am 1. Mai vor,Am Tag der Arbeit werden in Zürich und Bern Zusammenstösse zwischen Linksextremen und Corona-Skeptikern erwartet.
schweizer radio und fernsehen (srf),Kantönligeist beim Impftempo - Kommt es jetzt zum grossen Impftourismus in der Schweiz?,Einige Kantone preschen vor und wollen Junge ab Mai impfen. Andere hinken hinterher – mit ungewissen Folgen.
20 minuten,Elliot Page im Oprah-Interview,«Juno»-Schauspieler Elliot Page spricht ausführlich über seine Erfahrungen als nicht-binärer Trans-Mann vor und nach seinem Coming-out.
20 minuten,Impfdrängler : Impftourismus sorgt für Termin-Chaos in den Kantonen,"Einige Kantone impfen schon 18-Jährige, andere erst die Risikogruppen. Das führt zu kantonalem Impftourismus – es drohen abgesagte Termine und vernichtete Impfdosen."
aargauerzeitung.ch,Tötungsdelikt - Er hat seinen Freund in der Höhle eingesperrt und sterben lassen: Der 22-jährige Täter vom Bruggerberg ist geständig | Aargauer Zeitung - Aargauer Zeitung,Er hatte sein Opfer in eine Höhle eingesperrt und diese zugeschüttet. Nun hat der 22-Jährige seine Tat gestanden. Er befindet sich weiter in Untersuchungshaft.
finanzen.ch,Milliardendeal : Nestlé-Aktie freundlich: Nestlé kauft US-Vitaminhersteller Bountiful - finanzen.ch,"Nestlé kauft kräftig in den USA zu. Für 5,75 Milliarden Dollar übernimmt der Nahrungsmittelkonzern den US-Vitaminhersteller Bountiful von KKR."
pctipp.ch,Echo und Echo Dot ab sofort in der Schweiz verfügbar - PCtipp.ch,Die vierte Generation der Alexa-Smart-Speaker ist nun in der internationalen Version auch in der Schweiz verfügbar.
tagesanzeiger.ch,St. Galler Firma schafft Abhilfe - Hörbehinderte freuen sich über transparente Masken aus der Schweiz - Tages-Anzeiger,"Dass sie die Lippen des Gegenübers unter der Maske nicht sehen, ist für Hörbehinderte ein grosses Problem. Nun will ein Ostschweizer Unternehmen die Lösung gefunden haben."
www.srf.ch,Digitalisierungszwang - Postfinance-App: 10'000 Kunden können nicht mehr zugreifen - Schweizer Radio und Fernsehen (SRF),Ab dem 10. Mai können Postfinance Kundinnen und Kunden mit einem iPhone 6 oder älter nicht mehr auf die App zugreifen.
tagesanzeiger.ch,Überraschender Abgang - CS-Verwaltungsrat tritt nur Stunden vor GV zurück - Tages-Anzeiger,Um 10.30 Uhr beginnt die Generalversammlung. Bereits jetzt hat der Vorsitzende des Risikoausschusses dem Druck von Aktionären nachgegeben.
20 minuten,In Richtung Aathal - Bahnstrecke bei Uster wegen Brand neben Gleis zeitweise blockiert - 20 Minuten,"Am frühen Freitagmorgen brannte es in der Nähe des Bahnhofs Uster in Richtung Aathal. Wie die SBB bestätigt, war die Strecke zeitweise blockiert. Es ist weiterhin mit Verspätungen zu rechnen."
blick.ch,Flug von Mars-Hubschrauber gescheitert - BLICK,Nach drei erfolgreichen Flügen ist der vierte Startversuch des Mini-Hubschraubers «Ingenuity» auf dem Mars misslungen.
watson.ch,"Europa League: ManUnited mit Gala gegen AS Rom, Arsenal verliert - watson - watson","Die Halbfinal-Hinspiele der Europa League bringen elf Tore. Villarreal schlägt Arsenal 2:1, Manchester United bezwingt das vom Verletzungspech verfolgte Roma nach einem 1:2-Rückstand 6:2."
www.srf.ch,Playoff-Halbfinals an Servette - Murmeltiertag für den ZSC: Omark führt Genf in den Playoff-Final - Schweizer Radio und Fernsehen (SRF),"Im Hallenstadion geht auch Spiel 3 der Halbfinalserie an Servette. Überragend: Linus Omark, der 3 Assists beisteuert."
www.srf.ch,2:1-Sieg beim EVZ – Lakers melden sich in der Halbfinal-Serie zurück - Schweizer Radio und Fernsehen (SRF),Die Rapperswil-Jona Lakers verkürzen in der Playoff-Halbfinalserie gegen den EVZ auf 1:2.
luzernerzeitung.ch,Happiger Vorwurf - Die Schweiz als «Steueroase»? Bern reagiert empört auf die Rede von US-Präsident Biden | Luzerner Zeitung - Luzerner Zeitung,"Bundesrat Ueli Maurer reagiert auf den Vorwurf des amerikanischen Präsidenten, die Schweiz helfe US-Firmen bei der Steueroptimierung: Ein Sprecher weist Bidens Kritik scharf zurück."
20 minuten,"Bronschhofen SG : Eltern halten Verkehr an, damit Kinder Strasse queren können","Kein durchgehendes Trottoir, kein Fussgängerstreifen: Die Überquerung der AMP-Strasse in Bronschhofen SG macht Eltern von Schulkindern Sorgen. Die Behörden sind informiert."
blick,Genferin (65) stirbt nach Crash mit Reh auf Autobahn bei Mägenwil AG,Eine 65-jährige Autofahrerin stiess am Mittwoch auf der A1 mit einem Reh zusammen – dieses hatte sich auf die Autobahn verirrt. Dabei hatte die Frau riesiges Pech: Es ist der erste tödliche Wildunfall in den letzten fünf Jahren.
20 minuten,Bedingte Freiheitsstrafe : 33-Jähriger wegen sexueller Nötigung von Morena Diaz verurteilt,"Influencerin Morena Diaz sagte am Donnerstag vor dem Strafgericht Schwyz gegen einen ehemaligen Kollegen aus. Dieser bestreitet, die sexuelle Nötigung begangen zu haben."
blick,Wetter: Der Monat April war so kalt wie seit 20 Jahren nicht mehr,"Bis zum Wochenende bleibt es in der Schweiz regnerisch und eher kühl. Damit bleibt sich der April treu. Der Monat war so kalt, wie seit 20 Jahren nicht mehr."
blick,Wegen Masken-Attest: Corona-Skeptiker rufen zum Aufmarsch in Morschach auf,"Das Hotel des Swiss Holiday Park in Morschach SZ akzeptierte die Masken-Atteste einer Familie nicht. Als Corona-Skeptiker davon Wind bekamen, wurden sie wütend und riefen im Internet zum Aufmarsch auf. Die Kantonspolizei musste ausrücken."
telebasel,Flashmob im Bahnhof gegen Corona-Massnahmen,Knapp 100 Personen versammelten sich am Mittwochabend in der Passerelle des Bahnhofs SBB und tanzten gegen die Corona-Massnahmen.
telebasel,Tierschutz rügt Zolli für Seelöwen-Haltung,Der Schweizer Tierschutz STS hat am Donnerstag seinen «Zoobericht 2020» veröffentlicht. Gerügt wird der Zolli für die Haltung der Seelöwen.
20 minuten,Influencerin machte Fall publik,Body-Positivity-Star Morena Diaz soll von einem Kollegen sexuell genötigt worden sein. Am Donnerstag ist der Fall vor dem Strafgericht Schwyz.
20 minuten,Matran FR : Lenker fährt in Kuhherde – vier Rinder tot,Auf der Autobahn A12 in Matran wurde in der Nacht auf Donnerstag ein Autofahrer von einer Kuhherde überrascht und kollidierte mit vier Kühen. Alle vier Rinder starben.
telebasel,Autofahrer auf A12 von Kuhherde überrascht - vier Tiere tot,Ein Automobilist ist in der Nacht auf Donnerstag auf der Autobahn A12 bei Matran FR von einer Kuhherde auf der Fahrbahn überrascht worden. Vier Kühe starben.
aerotelegraph.com,So plant Lufthansa die Business Class zu schrumpfen - aeroTELEGRAPH,"Die Fluglinie zeigt erstmals, wie sie die Business Class verkleinern will. Selbst wenn die Nachfrage nach Geschäftsreisen sich gut erholt, hat Lufthansa einen Grund, verstärkt auf Premium Economy zu setzen."
bluewin.ch,Käser und Doktoranden für die Herstellung von Impfstoffen gesucht - bluewin.ch,Lonza baut in Visp zusätzliche Produktionslinien für den Moderna-Impfstoff und sucht dafür geeignete Fachkräfte – unter anderem bei Käsereien. Der Gemeindepräsident zeigt sich derweil erfreut.
www.nau.ch,Alte Banknoten werden von Schweizer Nationalbank zurückgerufen - Nau.ch,Per 30. April verlieren die alten Banknoten ihren Status als gesetzliches Zahlungsmittel. Die Schweizer Nationalbank ruft darum die Noten der 8. Serie zurück.
auto-motor-und-sport.de,Motorsport und Elektromobilität: Wo E-Autos noch keine Chance haben - auto motor und sport,"Extreme E-Autos bieten vierstellige PS-Zahlen, brutale Fahrleistungen und verblasen im Sprint jeden Verbrenner. E-Motorsport ist trotzdem lahm. Warum?"
aerotelegraph.com,Lufthansa prüft Umbau von Airbus A340 zu temporären Frachtern - aeroTELEGRAPH,Aufgrund der hohen Nachfrage werden Lufthansa und ihre Töchter in den nächsten Wochen noch mehr Fracht in Passagierfliegern transportieren. Vielleicht auch mit einem weiteren Flugzeugmodell.
telebasel.ch,Basel Corona reisst Loch in Rechnung des Unispitals - Telebasel,Das Corona-Jahr beschert dem Uni-Spital einen Verlust von 17 Millionen. Einnahmensausfälle wegen des Rückgangs an planbaren Eingriffen sorgten für das Minus.
tagesanzeiger.ch,Google baut in Zürich – Der Internetgigant dehnt sich aus ins Bankenviertel - Tages-Anzeiger,"Der markante ehemalige IBM-Hauptsitz wird gesamtsaniert. Neuer Mieter an dieser Toplage soll Google sein, das sei «ein offenes Geheimnis»."
blick.ch,"SNB schreibt im ersten Quartal Mega-Gewinn von 37,7 Mrd Franken - BLICK","Die Schweizerische Nationalbank profitiert von einem schwächeren Franken und dem Boom an den Aktienmärkten. Die SNB vermeldet deshalb einen Mega-Gewinn von 37,7 Milliarden Franken im ersten Quartal."
tagesanzeiger.ch,«Apropos» – der tägliche Podcast - Warum Urs Rohner jeden CS-Skandal überstanden hat - Tages-Anzeiger,Zehn Jahre lang stand Urs Rohner an der Spitze der Credit Suisse. Es war ein teures Jahrzehnt für die Bank. Warum konnte sich der Bankchef dennoch so lange an der Spitze halten? Antworten in «Apropos».
watson.ch,Warum du die Tastatur-App Typewise für iOS und Android nutzen solltest - watson,"Die Tastatur-App Typewise gibt es ab in einer neuen Version. Mit Unterstützung der ETH wurden Autokorrektur, Spracherkennung und der Datenschutz verbessert."
blick.ch,Brabus B50: Die neue Mercedes S-Klasse mit mehr Power und Luxus - BLICK,"Noch ehe Haustuner AMG die neue Mercedes S-Klasse fetter macht, schnappt sich Brabus den Luxusliner. Die S-Klasse als B50 lockt mit Noblesse, aber spart an einem Detail."
inside paradeplatz,Rohners Scherbenhaufen: Flucht nach London?,"CS-Präsident hinterlässt gigantisches Fiasko, mit Not-Geldinfusion und Risk-Chef im VR, der am Tag der Wahl aufgibt."
20 minuten,Die Schweizer Tastatur Typewise wird jetzt noch schneller,"Die Schweizer App Typewise hat ein neues Update erhalten. Sie sei jetzt noch besser als das Google-Keyboard oder Swiftkey, so die Entwickler."
20 minuten,Drei neue Produktionsstätten : Lonza und Moderna wollen Impfstoffproduktion verdoppeln,Mit drei neuen Produktionsstätten in Visp wollen Lonza und Moderna ihre Impfstoffproduktion ankurbeln. Die doppelte Menge an Vakzinen soll dort künftig hergestellt werden.
aerotelegraph,Swiss-Chef bereitet Personal auf tiefere Einschnitte vor,Die Schweizer Lufthansa-Tochter rechnet mit einem Rückgang des Geschäftsreiseverkehrs. Deshalb prüft Swiss nun eine «signifikante» Verkleinerung.
