source,title,description,category,publishedAt
t-online.de,Logik-Rätsel: Über diese Matheaufgabe ist Streit im Netz entbrannt,t-online.de fordert Sie im Video regelmäßig mit kniffligen Rätseln heraus.  Halten Sie sich für ein 'Superhirn'?  Zerbrechen Sie sich den Kopf über unsere Aufgaben.,science,2021-05-09T16:51:00Z
DIE WELT,Mutierte Viren aus den Tropen: Gefährden sie den Coronasommer?,Im Sommer sinken die Infektionszahlen – darauf konnte man bisher vertrauen. Warme Temperaturen erschweren dem Coronavirus die Ausbreitung. Experten warnen: In diesem Jahr könnten mutierte Erreger aus dem Tropengürtel diesen Effekt zunichtemachen.,science,2021-05-09T16:37:46Z
Spiegel Online,Coronazahlen der RKI: Hälfte der Bundesländer erreicht Inzidenzwerte unter 100,Ein Inzidenzwert unter 100 ist Voraussetzung für Lockerungen der Corona-Auflagen. Mittlerweile unterschreitet laut Robert Koch-Institut jedes zweite Bundesland diese Marke. Auch auf Kreisebene gibt es einen positiven Trend.,science,2021-05-09T10:07:02Z
Spiegel Online,Coronapandemie: Warum ein Statistiker für Schulöffnungen plädiert,"Millionen Kinder sitzen zu Hause, weil Schulschließungen das Infektionsgeschehen eindämmen sollen. Ein Münchner Forscher sagt dagegen, Präsenzunterricht helfe im Kampf gegen Corona. Wie meint er das?",science,2021-05-09T09:39:13Z
Tagesanzeiger.ch,Aussergewöhnliche Entdeckung - Spektakukäre Neandertaler-Funde in Italien,"In der Guattari-Höhle am Monte Circeo sind Überreste von Höhlenmenschen gefunden worden, die bis zu 100’000 Jahre alt sein können. Nicht nur Italiens Kulturminister ist begeistert.",science,2021-05-09T09:37:38Z
Handelsblatt,Lipid-Nanopartikel: Nur mit Schutzkapseln für mRNA kann der Corona-Impfstoff wirken - Handelsblatt ,"Chemiefirmen wie Evonik und Merck sorgen dafür, dass Impfstoff sicher in Körperzellen gelangt. Mit der Pandemie hat die Entwicklung noch einmal an Tempo gewonnen.",science,2021-05-09T08:47:00Z
Focus,Mit Daten der NASA und ESA: Forscher erstellen neue Karte von Milchstraßen-Halo,"Ein US-Forschungsteam konnte nun auf der Basis von Daten der NASA und ESA eine neue Karte des äußeren Milchstraße-Halos erstellen, denn genau dort erhofft man sich spannende Erkenntnisse.",science,2021-05-09T08:14:00Z
DIE WELT,"Corona Deutschland: Bundesweite Inzidenz sinkt auf 118,6 – Acht Bundesländer unter 100","In Deutschland werden binnen 24 Stunden 12.656 Neuinfektionen und 127 weitere Tote gemeldet. Der Inzidenzwert sinkt von 121,5 auf 118,6. Acht Bundesländer weisen inzwischen eine Inzidenz von unter 100 auf. Ein Überblick in Zahlen und Grafiken.",science,2021-05-09T07:57:23Z
Businessinsider.de,Corona: Wie Escape-Mutanten den Impffortschritt zunichte machen können,"Vielerorts wird gelockert, vielerorts keimt die Hoffnung, in der Pandemie könnte eine Wende geschafft sein. Forscher aber mahnen zur Vorsicht.",science,2021-05-09T06:22:00Z
Faz.net,Weniger Neuinfektionen – Inzidenz geht weiter zurück,"Das Robert Koch-Institut hat binnen eines Tages 12.656 Corona-Neuinfektionen registriert, das sind deutlich weniger als in der Vorwoche. Die Zahl der Toten lag mit 127 jedoch höher als am vergangenen Sonntag.",science,2021-05-09T04:12:43Z
t-online.de,"Corona-Zahlen: RKI registriert rund 12.600 Neuinfektionen – Inzidenzwert bei 118,6","Das Robert-Koch-Institut hat am Sonntagmorgen etwas über 12.600 neue Infektionen mit dem Coronavirus gemeldet. Der Inzidenzwert sinkt weiter, die Zahl der Toten liegt bei 127.",science,2021-05-09T03:53:30Z
Nzzas.nzz.ch,Der Geruch von Parkinson - NZZ am Sonntag,Die schottische Krankenschwester Joy Milne erkennt Parkinson  am Geruch der Patienten. Mit ihrer Hilfe entwickeln Forscher jetzt einen Hauttest zur Früherkennung der Krankheit.,science,2021-05-08T19:45:00Z
Www.nzz.ch,Corona Zürich: Mehr Covid-Fälle in weniger wohlhabenden Gemeinden - Neue Zürcher Zeitung,"Zahlreiche Studien zeigen, dass es einen Zusammenhang gibt zwischen sozialer Benachteiligung und dem Risiko, an Covid-19 zu erkranken. Auch im Kanton Zürich scheint das der Fall zu sein, wie eine NZZ-Analyse zeigt.",science,2021-05-08T18:05:00Z
Infranken.de,Erdnahes Schwarzes Loch entdeckt: Das 'Einhorn' verzerrt den Raum - inFranken.de,US-amerikanische Astronomen haben ein neues schwarzes Loch in der Milchstraße entdeckt. Das 'Einhorn' fällt durch seine geringe Größe auf - und die Nähe zur Erde.,science,2021-05-08T17:42:00Z
Www.nau.ch,Das sind Alternativen zu einem Taskforce-«Maulkorb»,"Die Corona-Taskforce steht erneut in der Kritik wegen Modellen, die nie Realität wurden. Statt einem Maulkorb für die Wissenschaft, gäbe es Alternativen.",science,2021-05-08T13:04:00Z
Tagesanzeiger.ch,Nasa veröffentlicht erste Aufnahme - So klingt ein Flug auf dem Mars,Nasa hat erstmals eine Ton-Aufnahme von einem Flug des Mars-Helikopters «Ingenuity» veröffentlicht.,science,2021-05-08T09:59:26Z
Bild,"Lockerungen ab Montag: Passau Inzidenzwert von 20,8",München - Der Stadtkreis Passau hat nach Angaben des Robert Koch-Instituts (RKI) vom Samstag die niedrigste Corona-Inzidenz in ganz Deutschland.,science,2021-05-08T09:08:19Z
20 Minuten,"Emotional stabil und entspannt - So veränderst du dich, wenn du Erfolg im Job hast","Wer im Beruf Karriere macht, hat oft mehr Stress und weniger Zeit für Privates. Forschende haben nun herausgefunden, dass der Erfolg die Persönlichkeit verändert – allerdings in positiver Hinsicht.",science,2021-05-08T08:27:56Z
Schweizer Radio und Fernsehen (SRF),"Gendergerechte Sprache - Ein kleines Zeichen, das ein grosses Zeichen setzen will","Genderneutrale Sprache steht für die Bemühung, alle linguistisch einzubeziehen, was nicht überall auf Zustimmung stösst.",science,2021-05-08T09:26:00Z
BLICK,Raumfahrt: Geräusche vom Mars-Helikopter veröffentlicht,"Die US-Raumfahrtbehörde Nasa hat eine erste Ton-Aufnahme von einem Flug des Mars-Helikopters «Ingenuity» veröffentlicht. Es handele sich um die erste Audio-Aufnahme von einem Mars-Flug, teilte die Nasa mit.",science,2021-05-08T07:56:01Z
