source,title,description
focus,Kältester April seit 35 Jahren: Warum dieser Monat so eisig ist - FOCUS Online,Der April war 2021 so kalt wie seit 35 Jahren nicht mehr. Die Temperaturen liegen etwa 3 Grad unter dem Mittel. Doch woran liegt das und was war in den vergangenen Jahren anders?
focus,"Niederlande öffnen trotz Mega-Inzidenz - Mediziner warnen vor ""Code Schwarz"" - FOCUS Online","Die Niederlande sperren wieder auf: Ab Mittwoch dürfen die Außenbereiche in der Gastronomie und Geschäfte wieder geöffnet werden. Und das trotz einer schwindelerregend hohen 7-Tages-Inzidenz. Die Regierung vertraut auf Impfungen, doch Mediziner warnten bereit…"
heise online,"Solar Orbiter: ""Lagerfeuer"" könnten rätselhafte Sonnentemperaturen erklären - heise online","Direkt über der Sonne ist es 300-mal heißer als auf deren Oberfläche. Vom Solar Orbiter entdeckte ""Lagerfeuer"" könnten das erklären."
www.nzz.ch,Corona-Debatte: Forscher sollten Politik nicht unterschätzen - Neue Zürcher Zeitung,"Nach den jüngsten Bundesratsentscheiden wird einmal mehr die «wissenschaftliche Ignoranz» der Politik lamentiert. Das entlarvt nicht nur die politische Naivität einzelner Experten, sondern ist auch gefährlich für die Wissenschaften."
web.de news,"""Ingenuity"": Mars-Hubschrauber liefert erste Farbaufnahmen - WEB.DE News","Der Mars-Hubschrauber ""Ingenuity"" hat schon drei Flüge hinter sich. Bei seinem zweiten Erkundungsflug über den Mars wurden erste farbige Aufnahmen produziert."
t-online.de,Corona/Köln: Inzidenz weiterhin hoch – Impfaktion in Brennpunkten angekündigt - t-online - Köln,"Der Inzidenzwert in Köln ist erneut gesunken, bleibt aber auf einem hohen Niveau. In besonders von Corona betroffenen Stadtteilen sollen zusätzliche Impfungen zum Einsatz kommen."
bild,Viel zu wenig Regen! - Droht uns wieder ein Dürre-Sommer? - BILD,"Auch in diesem Jahr fällt kaum Regen. Und der Boden ist trocken. Schon wieder. Oder besser, immer noch. Aber sind wir gleich wieder von einer Dürre bedroht?"
t-online.de,Corona-News Hamburg: Inzidenzwert fällt unter 100 – über 200 Neuinfektionen - t-online - Hamburg,Zum Mittwoch liegt die Corona-Inzidenz in Hamburg unter 100. Es wurden allerdings auch sieben Todesfälle gemeldet.
businessinsider.de,"Impf-FoMO: Ein Psychologe über die Angst, etwas zu verpassen - Business Insider Deutschland","„Je mehr Menschen geimpft sind, desto schneller könnte eine FoMO bei denen entstehen, die noch auf die Impfung warten“, sagt ein Experte."
www.fr.de,„Galaktischer Halo“ - Karte der äußeren Milchstraße führt zum Speicher der dunklen Materie - fr.de,Forschende aus den USA veröffentlichen eine neue Karte der äußeren Milchstraße. Basis sind Daten der Weltraumorganisationen Nasa und Esa.
focus,Wegen schmelzender Gletscher: Der Klimawandel verschiebt die Erdachse - FOCUS Online,Mehrere Faktoren lassen die Erdachse kippen. Die schmelzenden Gletscher der Nordhalbkugel geben dem Planeten nur einen zusätzlichen Dreh.
bild,Weniger Corona-Neuinfektionen - Inzidenz in NRW sinkt auch an Hotspots - BILD,Die Zahl der in den letzten sieben Tagen gemeldeten Corona-Neuinfektionen pro 100 000 Einwohner in Nordrhein-Westfalen ist gesunken.
