source,title,description,category,publishedAt
Www.srf.ch,Curling-WM in Calgary – Schweizerinnen lösen vorzeitig das Ticket für die K.o.-Phase,Nach dem Sieg gegen Schottland bezwingen Silvana Tirinzoni und ihr Team auch Russland. Es ist der 9. Sieg im 10. Spiel.,sport,2021-05-06T18:07:00Z
Bluewin.ch,Grosser Fehler»Nächster TV-Experte mit verbalem Fehltritt – Dennis Aogo verordnet sich Denkpause Am Mittwoch macht,Am Mittwoch macht Dennis Aogo eine rassistische Nachricht von Ex-Nationaltorwart Jens Lehmann öffentlich. Einen Tag später muss er die Konsequenzen aus einem eigenen verbalen Fehlverhalten ziehen.,sport,2021-05-06T16:49:00Z
Www.srf.ch,Schweizer Fussball-News – Luzern-Urgestein David Zibung hört auf,Hier finden Sie die wichtigsten Kurzmeldungen des Tages aus dem Schweizer Fussball-Geschehen.,sport,2021-05-06T14:54:00Z
Blick.ch,Gerücht um Bottas-Russell-Tausch in der Formel 1 – Angst vor Red Bull?,Was wäre die Formel 1 ohne Gerüchte? Jetzt ist in England Vizeweltmeister Valtteri Bottas (31) in den heissen Topf der Spekulationen geraten.,sport,2021-05-06T14:29:38Z
Watson.ch,Echter «Tractor Boy»: Ed Sheeran wird Trikotsponsor seines Herzensklubs,"Kein internationaler Grosskonzern, nicht die lokale Brauerei und auch keiner der zahlreichen Buchmacher – der neue Trikotsponsor von Ipswich Town heisst: Ed Sheeran. Der Musiker ist seit Jahren ein grosser Fan des Klubs.",sport,2021-05-06T14:23:00Z
20 Minuten,«Football Inside» - Doku über das Kabinenleben bei Schweizer Fussballclubs,Dokus wie «All or nothing: Man City» oder «Sunderland till I die» besorgten Amazon und Netflix echte Kassenschlager. Nun kommt mit «Football Inside» ein Film über das Kabinenleben bei Schweizer Fussballclubs in die Kinos.,sport,2021-05-06T14:00:00Z
20 Minuten,Nach geschmackloser Protest-Aktion - «Kennen diese Menschen keine Grenzen?» – FCB schaltet Polizei ein,"Nachdem am Donnerstagmorgen ein abgetrennter Schweinekopf vor der Geschäftsstelle des FC Basel gefunden wird,  reagiert der Verein am Nachmittag mit einer klaren Botschaft.",sport,2021-05-06T12:16:31Z
Blick.ch,Uefa-Präsident Ceferin riskiert wegen Putsch Krach mit Fifa-Boss Infantino,Nach dem sportlichen Out in der Champions League könnte es für Real Madrid und Co. knüppeldick kommen. Die Uefa droht mit einem Zwei-Jahre-Bann aus Europa.,sport,2021-05-06T11:54:44Z
Tagesanzeiger.ch,Gewichtheberin Laurel Hubbard - Sie lebte als Mann – und greift nun als Frau nach Olympiagold,"Transgender-Athletin Laurel Hubbard vertritt Neuseeland an den Sommerspielen in Tokio. Das sorgt teilweise für Zuspruch, aber auch für massive Kritik.",sport,2021-05-06T11:39:24Z
Motorsport-total.com,Red Bull holt fünf weitere Ex-Mercedes-Mitarbeiter für Motorenprojekt,"Formel-1-Team Red Bull hat f&uuml;r seine neue Motorenabteilung erneut Mercedes-Mitarbeiter abgeworben, und zwar gleich f&uuml;nf leitende Angestellte",sport,2021-05-06T10:37:00Z
