source,title,description
www.srf.ch,Final gegen Kloten gewonnen – Ajoie kehrt nach 28 Jahren ins Oberhaus zurück - Schweizer Radio und Fernsehen (SRF),Der Klub aus dem Jura schlägt Kloten 5:4 n.V und setzt sich in der Final-Serie der Swiss League 4:2 durch.
20 minuten,Roland Heri - Fake-Reservationen und -Bestellungen – FCB-CEO erstattet Anzeige - 20 Minuten,"Der Machtkampf zwischen David Degen und Bernhard Burgener wird seit Monaten öffentlich ausgetragen, nun bekommt auch FCB-CEO Roland Heri den Unmut der Fans zu spüren."
telebasel.ch,Champions League im Ticker: PSG vs. Manchester City - Telebasel,Verfolgen Sie die Spiele der Champions League live im Ticker.
www.srf.ch,29:30-Niederlage in EM-Quali - Schweiz verpasst Exploit gegen Weltmeister Dänemark knapp - Schweizer Radio und Fernsehen (SRF),Die Schweizer Handballer unterliegen Favorit Dänemark im zweitletzten Spiel der EM-Quali mit 29:30.
speedweek.com,Tebaldi (VR46): Ankündigung in Le Mans oder Mugello - SPEEDWEEK.COM,"Valentino Rossis rechte Hand, Alberto Tebaldi, spricht über weitere Details zum MotoGP-Einstieg als «Aramco Racing Team VR46» – von der Fahrerfrage bis zum Fabrikat, das so schnell wie möglich festgelegt werden soll."
speedweek.com,Aleix Espargaró: Dovi hat Aprilia-Potenzial erkannt - SPEEDWEEK.COM,Aprilia-Speerspitze Aleix Espargaró spricht vor dem Jerez-GP der MotoGP über seinen Kontakt mit Andrea Dovizioso. Der Italiener hatte die RS-GP vom 12. bis 14. April in Andalusien getestet.
www.srf.ch,1. Etappe der Tour de Romandie – 11 Jahre nach der Premiere: Sagan sprintet in Martigny zum Sieg - Schweizer Radio und Fernsehen (SRF),Der Slowake hat an der Tour de Romandie wie schon am 28. April 2010 Grund zum Jubeln.
bluewin.ch,Nächster Hammer beim SC Bern: Florence Schelling muss gehen - bluewin.ch,Knall in Bern: Die Klubleitung zieht nach einer sportlich enttäuschenden Saison die Konsequenzen und beendet die Zusammenarbeit mit Sportchefin Florence Schelling per sofort.
blick.ch,"Leichtathletik: Kambundji, Del Ponte und Atcho fehlen an der Staffel-WM - BLICK",Nach Mujinga Kambundji fallen nun auch Ajla Del Ponte und Sarah Atcho für die Staffel-WM aus.
www.nau.ch,Roger Federer besucht den SC Bern - Nau.ch,Mitte Mai spielt Roger Federer in Genf sein erstes Heimturnier seit 2019. Jetzt hat er mit Coach Severin Lüthi seinen Lieblings-Hockeyclub in Bern besucht.
bluewin.ch,Ein ehemaliger Weggefährte über Roger Federer: «Er brach sogar Tabus» - bluewin.ch,"Ein Genfer Sportjournalist, der einst auch mit Roger Federer auf dem Platz stand, gewährt in seinem Buch neue und spannende Einblicke in die Welt des 20-fachen Grand-Slam-Siegers."
www.srf.ch,News aus dem Tennis – Wildcard für Dominic Stricker in Genf - Schweizer Radio und Fernsehen (SRF),Hier finden Sie die wichtigsten Tennis-Kurzmeldungen des Tages.
20 minuten,Salzburg-Trainer Jesse Marsch wird neuer Leipzig-Coach - 20 Minuten,In der Bundesliga dreht sich das Trainer-Karussell immer weiter. Am Mittwoch könnte RB Leipzig bereits den Nachfolger des zu Bayern abgewanderten Julian Nagelsmann präsentieren.
blick.ch,Ex-EVZ-Spieler Timo Helbling findet die Schwalbe von Abdelkader lächerlich - BLICK,Für die nötige Härte hat der EVZ Justin Abdelkader engagiert. Doch der Ex-NHL-Spieler lässt sich theatralisch fallen nach einem Treffer von Laker Jelovac. Ex-Zug-Haudegen und MySports-Experte Timo Helbling hat eine klare Meinung dazu.
blick.ch,"Irre Torquoten, Querflöten-Unterricht und Museen: So tickt Kylian Mbappé - BLICK",Vom Banlieue-Kicker zum Idol eines ganzen Landes: Kylian Mbappés steiler Aufstieg erklärt sich mit seinem unfassbaren Talent und riesiger Leidenschaft. Doch nicht immer in seinem Leben dreht sich alles um Fussball.
www.nau.ch,Timo Werner: Monster-Fehlschuss gegen Real Madrid wird Internet-Hit - Nau.ch,Timo Werner wird nach dem 1:1-Remis von Chelsea gegen Real Madrid wohl schlecht geschlafen haben. Sein Fehlschuss nach neun Minuten ist schlicht unfassbar.
bluewin.ch,"PSG soll Messi ein Angebot gemacht haben, bei dem Barça nicht mithalten kann - bluewin.ch","Paris Saint-Germain soll Superstar Lionel Messi ein Vertragsangebot unterbreitet haben, welches der FC Barcelona laut einer zuverlässigen Quelle nicht matchen kann."
auto-motor-und-sport.de,Frust nach Regel-Änderung: Aston Martin rudert zurück - auto motor und sport,"Aston Martin zettelte einen Kleinkrieg mit der FIA an. Der Rennstall sah sich durch die Regeländerungen benachteiligt, hat aber inzwischen einen Rückzieher gemacht. Bremsen die Aero-Anpassungen wirklich Autos mit einer starken Anstellung aus und kann dahinter…"
blick.ch,Floyd Mayweather und Youtuber Logan Paul steigen in den Ring - BLICK,Der frühere Box-Weltmeister Floyd Mayweather jr. steigt für einen Schaukampf erneut in den Ring.
fm1today.ch,Schüler baut FCSG-Stadion Kybunpark aus Lego nach - FM1Today,"Eine Abschlussarbeit hat den 14-jährigen Jonas Gmür dazu animiert, den Kybunpark bis ins Detail aus Lego nachzubauen. Für den Bau und die Planung benötigte er fast 50 Stunden und über 2000 Lego-Steine. Das Modell hat ihm die Firma Kybun nun abgekauft."
20 minuten,Schwere Vorwürfe des Weltmeisters,Mario Götze verliess Borussia Dortmund im letzten Sommer in Richtung PSV Eindhoven und erhebt nun schwere Vorwürfe gegen Ex-BVB-Coach Lucien Favre.
schweizer radio und fernsehen (srf),In der CL im Skorer-Rhythmus - Manchester City baut seine Träume auf Phil Foden,Der erst 20-jährige Brite möchte seinen Lauf am Mittwoch im Halbfinal-Hinspiel der Champions League bei PSG fortsetzen.
auto motor und sport,Vorwürfe gegen FIA: Aston Martin rudert zurück,"Aston Martin zettelte einen Kleinkrieg mit der FIA an. Das Team sah sich durch die Regeländerungen benachteiligt, hat aber inzwischen einen Rückzieher gemacht."
schweizer radio und fernsehen (srf),Handball-Nati in der EM-Quali - Dänemark: Zwischen WM-Gold und Olympia-Coup rasch in die Schweiz,Die Handball-Grossmacht Dänemark tritt in Winterthur ohne Topstars und Trainer an – es geht um Plätze im Olympia-Kader.
