source,title,description,category,publishedAt
Neue Schweizer Zeitung,Fans haben den gesamten indianischen Dialog in Assassins Creed Valhalla übersetzt,"Ein Screenshot:: UbisoftFans, die mit den Experten zusammenarbeiten, haben jeden Kanien'kehá-Dialog übersetzt: ka, der in der Vinland-Sektion von",technology,2021-05-15T19:57:49Z
BLICK,Meisterliche Zuger führen Nati zum zweiten Sieg gegen Lettland,Hauptproben geglückt! Die Schweizer Nati ist nach dem zweiten Sieg gegen Lettland nun in der gesamten WM-Vorbereitung ungeschlagen.,technology,2021-05-15T18:46:13Z
BLICK.CH,Super League: Luzern verabschiedet sich in Bern von den Europa-Plätzen,"Luzern verspielt gegen YB zwei mal eine Führung und kann deshalb die europäischen Plätze nicht mehr erreichen. Falls die Innerschweizer in Europa spielen wollen, müssen sie jetzt den Cup gewinnen.",technology,2021-05-15T18:07:30Z
Schweizer Radio und Fernsehen (SRF),Gewaltspirale im Nahen Osten - Solidaritätskundgebungen für Palästina in Schweizer Städten,In Basel gingen rund 200 Personen auf die Strasse. In Genf demonstrierten 300 Menschen.,technology,2021-05-15T16:19:00Z
BLICK,"Prinz Harry: Palast ist ""schockiert"" über neues Skandal-Interview",In einem Podcast teilte Prinz Harry gegen seinen Vater Charles aus. Dies kommt im Buckingham Palace gar nicht gut an.,technology,2021-05-15T15:57:30Z
Schweizer Radio und Fernsehen (SRF),40 Tore in einer Saison - Lewandowski egalisiert Torrekord von Gerd Müller,Robert Lewandowski hat Gerd Müllers Bundesliga-Rekord von 40 Toren in einer Saison eingestellt.,technology,2021-05-15T15:49:00Z
20 Minuten,CO₂-Arena : SRF berichtigt SVP-Imarks Vorwürfe wegen «gefälschter Statistik»,"Am Freitagabend erhob SVP-Nationalrat Christian Imark in der SRF-Sendung Arena Vorwürfe gegen den Sender, man habe eine Statistik gefälscht. Nun wehren sich das SRF sowie ein Klimaforschen dagegen.",technology,2021-05-15T14:55:37Z
20 Minuten,Zermatt VS : Skitourengänger (31) stürzt in Gletscherspalte und stirbt,Am Freitagnachmittag ereignete sich auf dem Grenzgletscher oberhalb von Zermatt ein tragischer Unfall. Ein Zürcher verstarb nach einem Sturz in eine Gletscherspalte.,technology,2021-05-15T14:53:15Z
Schweizer Radio und Fernsehen (SRF),"Schweizer Festspiele an OL-EM - Doppelsieg bei den Männern, Silber für Aebersold",Matthias Kyburz gewinnt an der OL-EM in Neuenburg den K.o.-Sprint vor Joey Hadorn. Simona Aebersold wird Zweite.,technology,2021-05-15T14:46:00Z
BLICK,Schweden-Superstar Zlatan Ibrahimovic verpasst die EM,"Im März kehrte Zlatan Ibrahimovic ins schwedische Nationalteam zurück. Das Ziel, die EM 2021, ist für den 39-jährigen Superstar nun aber futsch.",technology,2021-05-15T13:59:03Z
20 Minuten,Autonome Autos : Robotaxis ab 2025 – die Schweiz muss sich gedulden,"Volkswagen will in Deutschland 2025 die ersten selbstfahrenden Shuttles einsetzen. China ist schon einen Schritt weiter. Doch bevor auch in der Schweiz autonome Autos auf die Strassen kommen, gilt es noch, einige Hürden zu überwinden.",technology,2021-05-15T17:36:24Z
 Cash,Decentralized Finance - DeFi - Der letzte Schrei in der Ethereum-Welt macht Geldgeschäfte ohne Banken möglich,DeFi ist derzeit eines der heissesten Themen in der Krypto-Branche. Doch die Technik hält mit ihrem exponentiellem Wachstum nicht mit.,technology,2021-05-15T12:24:00Z
BTC-ECHO,Dogecoin (DOGE) vs. Shiba Inu (SHIB) - Duell der (S)hitcoins,"Der Hype um Dogecoin hat zahlreiche Konkurrenzprojekte inspiriert. Ganz vorne mit dabei: Shiba Inu, benannt nach dem Wappentier von Doge.",technology,2021-05-15T10:00:00Z
CHIP Online,64-Bit-Programme für Windows: Das sind die besten,"Viel RAM ist gut, mehr RAM ist besser. Nach dieser Devise wachsen die Arbeitsspeicher-Reserven in Notebooks und PCs fröhlich vor sich hin. Die Konsequenz: Die meisten Nutzer sind mit einer 64-Bit-Version von Windows unterwegs. Doch wirklich ausnutzen können Sie das Plus an Leistung nur mit der passenden Software. Wir haben die beliebtesten 64-Bit-Tools für Windows.",technology,2021-05-15T09:15:44Z
BTC-ECHO,Wie bullish ist 2021? Bitcoins Halving-Zyklen geben Aufschluss,"Wir blicken auf vergangene Bitcoin Halvings und leiten ab, wie hoch BTC 2021 noch steigen kann. ► Jetzt bei BTC-ECHO lesen!",technology,2021-05-15T06:00:00Z
 Cash,Cyber-Devisen - Ethereum: Mehr als nur eine Kryptowährung,Innerhalb weniger Wochen hat Ethereum die Marken von 3000 und 4000 Dollar geknackt.,technology,2021-05-14T19:00:00Z
Schweizer Radio und Fernsehen (SRF),Online-Shopping - Süchtig nach dem besten Preis,Künstliche Intelligenz soll Menschen konsumfreudiger machen. Das soll dynamischen Preisen zum Durchbruch verhelfen.,technology,2021-05-14T16:53:00Z
BTC-ECHO,"Altcoinanalyse: ETH und ADA mit neuem Allzeithoch, XLM könnte folgen",Ethereum (ETH) zeigt sich weiter bullish und überspringt 4.000 USD. Auch Cardano (ADA) und Stellar (XLM) tendieren aktuell gen Norden.,technology,2021-05-14T15:30:00Z
20 Minuten,"Fake-News : Nein, das Internet wird im Juli nicht abgestellt",Laut einem Tweet kommt es in zwei Monaten zu einem kompletten Netz-Blackout. Dahinter steckt eine bekannte Verschwörungstheoretikerin.,technology,2021-05-14T14:51:49Z
TECHBOOK,"27 kostenpflichtige Apps, die es für kurze Zeit gratis gibt","Sowohl bei Android als auch iOS gibt es immer wieder kostenpflichtige Apps, die für einen bestimmten Zeitraum gratis angeboten werden.",technology,2021-05-14T14:01:00Z
