source,title,description
blick,Registrierungsprogramm ist ihnen zu kompliziert,Mit dem Impftool Vacme will die Gesundheitsdirektion des Kantons Zürich das Datenpuff vereinheitlichen. Doch das Programm kommt bei den Hausärzten im Kanton weniger gut an. Viele wollen gar die Spritze hinschmeissen und keinen Corona-Piks in der Praxis mehr anbieten.
blick,Coronavirus: Migros Aare sorgt für Impfung ihrer Mitarbeiter und Familien,"Den Anfang macht die Migros Genossenschaft Aare. Sie plant eine betriebliche Impfaktion für die Mitarbeitenden und deren Familien. Diese Ankündigung kommt einer Kehrtwende gleich, hat Migros-Chef Zumbrunnen im Blick-Interview doch gesagt, dass Impfen Privatsache sei."
pressebox,Neue Umgebung von Hot Wheels Unleashed im Trailer vorgestellt,"Koch Media GmbH, Mattel und Milestone veröffentlichen heute einen neuen Gameplay-Trailer von Hot Wheels Unleashed, der die zweite atember…"
telebasel,Umfrage zeigt: Voraussichtliche Zustimmung zu allen fünf Vorlagen,Bei der eidgenössischen Abstimmung am 13. Juni zeichnet sich bei allen fünf Vorlagen ein Ja ab. Dabei zeigte sich eine starke Links-Rechts-Polarisierung.
finews.ch,Aufstieg und Fall von Credit-Suisse-Präsident Urs Rohner,"Er trat als strahlender und erfolgsgewohnter Manager an, um seine Karriere in einer Schweizer Grossbank zu krönen. Nun tritt Urs Rohner unter heftiger Kritik zurück und hinterlässt eine Bank mit ihren Mitarbeitenden, die derzeit gänzlich destabilisiert ist und vorläufig keinerlei Perspektiven hat. Wie es dazu gekommen ist."
schweizer radio und fernsehen (srf),Unglück an Pilgerfest - Mindestens 44 Tote bei Massenpanik auf jüdischem Fest in Israel,In Meron im Norden des Landes ist eine Massenpanik ausgebrochen. Neben den Toten wurden Dutzende teils schwer verletzt.
schweizer radio und fernsehen (srf),Demonstrationen während Corona - Stadtpolizeien bereiten sich für Ausschreitungen am 1. Mai vor,Am Tag der Arbeit werden in Zürich und Bern Zusammenstösse zwischen Linksextremen und Corona-Skeptikern erwartet.
schweizer radio und fernsehen (srf),Kantönligeist beim Impftempo - Kommt es jetzt zum grossen Impftourismus in der Schweiz?,Einige Kantone preschen vor und wollen Junge ab Mai impfen. Andere hinken hinterher – mit ungewissen Folgen.
20 minuten,Elliot Page im Oprah-Interview,«Juno»-Schauspieler Elliot Page spricht ausführlich über seine Erfahrungen als nicht-binärer Trans-Mann vor und nach seinem Coming-out.
20 minuten,Impfdrängler : Impftourismus sorgt für Termin-Chaos in den Kantonen,"Einige Kantone impfen schon 18-Jährige, andere erst die Risikogruppen. Das führt zu kantonalem Impftourismus – es drohen abgesagte Termine und vernichtete Impfdosen."
20 minuten,Bewegung oder nicht? : Diese beiden Kreise lassen das Internet verrückt werden,Bewegen sich diese Kreise oder nicht? Eine optische Illusion von Twitter geht online gerade viral. Das steckt dahinter.
schweizer radio und fernsehen (srf),Digitalisierungszwang - Postfinance-App: 10’000 Kunden können nicht mehr zugreifen,Ab dem 10. Mai können Postfinance Kundinnen und Kunden mit einem iPhone 6 oder älter nicht mehr auf die App zugreifen.
business insider deutschland,Ärger mit Vodafone: VW holt Deutsche Telekom als Netz-Provider zurück,"VW-Manager monieren plötzliche Gesprächsabbrüche bei Vodafone-Verbindungen. Von der Telekom erhofft VW nun ""höhere Mobilfunk-Qualität""."
20 minuten,Milliardenschwerer Nasa-Auftrag : Jeff Bezos und Elon Musk streiten sich um den Mond,Dämpfer für Jeff Bezos und Blue Origin: Die Nasa vergibt einen milliardenschweren Auftrag an Elon Musks Firma SpaceX. Es geht um den Bau eines Mondlandefahrzeugs. Jetzt knatschen sich die reichsten Männer der Welt.
cash.ch,Podcast - Endet die Vorherrschaft von Bitcoin bei den Kryptowährungen?,Kryptogeld-Kurse schwanken stark. Wie geht es weiter? Und welche Digitalwährung setzt sich durch? Antworten im Podcast.
 cash,Digital - Apple und Samsung warnen im Technologieboom vor Chip-Engpässen,Die beiden Technologieriesen Apple und Samsung Electronics sorgen sich mitten in einem Nachfrageboom vor den Folgen der weltweiten Chipknappheit.
finews.ch,Crypto Finance schliesst sich deutscher Kryptobörse an,Das Schweizer Fintech Crypto Finance wagt den Sprung über die Grenze. Die Spezialistin für digitale Anlagen arbeitet mit einer Kryptobörse in Deutschland zusammen.
cryptoticker.io,Iota Kurs Prognose - Sehen wir bald einen stärkeren Kursrückgang?,"Der Iota Kurs ist in den vergangenen Tagen stark korrigiert. Inzwischen konnte er erneut etwas ansteigen, doch wie könnte es weitergehen?"
btc-echo,"""Begründeter Verdacht"": BaFin nimmt Stock Token von Binance ins Visier","Stock Token ermöglichen es, an der Wertentwicklung von Unternehmen teilzuhaben. Nun setzt sich die BaFin mit dem Investmentvehikel auseinander."
 cash,Starkes Schlussquartal - Beliebte Logitech-Aktie: Warum nur bleibt das Kursfeuerwerk aus?,Logitech übertrifft die Erwartungen auch im Schlussquartal um Längen. Dennoch reagiert die Börse unterkühlt. Macht das die Aktie nun zum «blinden Kauf»? - Und: Credit Suisse beisst sich regelrecht an Meyer Burger fest.
