source,title,description,category,publishedAt
Schweizer Radio und Fernsehen (SRF),Britische Regionalwahlen - Regierungspartei SNP erklärt sich zur Siegerin in Schottland,"Sie werde ein Gesetz für ein neues Referendum einbringen, kündigte Regierungschefin Nicola Sturgeon an.",world,2021-05-08T17:52:00Z
Telebasel,Europa-Park hofft auf Öffnung vor Pfingsten,"Der Europa-Park bereitet sich auf eine baldige Öffnung vor. Man hoffe, dass man noch vor den Pfingsten wieder Gäste empfangen kann.",world,2021-05-08T14:16:43Z
Schweizer Radio und Fernsehen (SRF),"""Washington Post""-Bericht - Trump-Regierung beschaffte heimlich Reporter-Daten","Die Journalisten hätten zu Beginn der Trump-Regierung über Russlands Rolle im Wahlkampf 2016 berichtet, so die Zeitung.",world,2021-05-08T12:43:00Z
BLICK,Paare trennen sich nach mehreren Jahrzehnten,Bill und Melinda Gates sind nicht allein. Auch andere prominente Paare trennten sich nach mehreren Jahrzehnten und wagten jeder für sich den Schritt in die Unabhängigkeit.,world,2021-05-08T10:30:37Z
BLICK,Europapark im Lockdown: Kommt die Wiedereröffnung bereits vor Pfingsten?,"Der Europapark bereitet sich auf eine baldige Öffnung vor, heisst es auf Anfrage von Blick. Wann der Lockdown tatsächlich vorbei ist, hänge aber noch von ein paar Faktoren ab, die nicht in der Hand des Freizeitparks lägen. Die Details.",world,2021-05-08T10:14:43Z
Schweizer Radio und Fernsehen (SRF),Wahlen in Grossbritannien - Die Coronakrise hat Johnsons Konservativen geholfen,Labour versinkt indes weiter: Deren Oppositionspolitik während der Pandemie kam bei den Wählenden nicht gut an.,world,2021-05-08T07:09:00Z
20 Minuten,Coronavirus : Australien wird womöglich bis Ende 2022 keine Touristen ins Land lassen,"Planst du Ferien in Australien? Das könnte schwierig werden. Australiens Grenzen könnten bis Ende 2022 geschlossen bleiben, sagt der Tourismusminister des Landes.",world,2021-05-08T06:26:28Z
Telebasel,Grünes Impfzertifikat für Europa soll im Juni starten können,Das Coronavirus stellt die Schweiz und die Welt auf den Kopf. Hier im Ticker bleiben Sie über die aktuellen Ereignisse auf dem Laufenden.,world,2021-05-08T05:52:54Z
20 Minuten,Gewaltausbruch in Favela : Zahl der Toten bei Polizeieinsatz in Rio de Janeiro steigt auf 28,Die Zahl der Toten nach einem der blutigsten Polizeieinsätze in der Geschichte der brasilianischen Millionenmetropole Rio de Janeiro ist offensichtlich auf 28 gestiegen.,world,2021-05-08T04:49:21Z
Neue Schweizer Zeitung,Zoom hat Zugriff auf die Kamera-API des iPad,"Der App-Entwickler Jeremy Provost hat festgestellt, dass Apple Zoom Zugriff auf die Kamera-API des iPad gewährt hat. Mit Ausnahme der FaceTime-App von",world,2021-05-08T19:42:23Z
Schweizer Radio und Fernsehen (SRF),2:0-Erfolg in Lugano - Vaduz mit Ansage im Kampf gegen den Abstieg,Die Liechtensteiner reisen mit 3 Punkten im Gepäck aus Lugano ab. Sie könnten wegweisend sein für den Klassenerhalt.,world,2021-05-08T18:19:00Z
Schweizer Radio und Fernsehen (SRF),"Diskussionen innerhalb der SP - Rahmenabkommen: Ex-Regierungsrat redet von ""Wahrnehmungsstörung""",Das Rahmenabkommen sorgt in der SP für Diskussionen. Immer mehr Stimmen betonen die Vorteile des Abkommens.,world,2021-05-08T17:09:00Z
BLICK,Drama um Schlagerstar: Jetzt sprich Stefan Mross Mutter über die Killer-Tat,Die Cousine (†50) und die Tante (†76) von Volksmusiker Stefan Mross wurden ermordet. Jetzt spricht seine Mutter über die schreckliche Tat.,world,2021-05-08T16:56:40Z
Schweizer Radio und Fernsehen (SRF),Gegen Corona-Massnahmen - Rund 1500 Personen an unbewilligter Demo in Aarau,Die Polizei war mit einem Grossaufgebot vor Ort. Die Demonstrierenden zogen in Gruppen mehrfach durch die Stadt.,world,2021-05-08T16:41:00Z
BLICK,Fast zwei Drittel sind für den Rahmenvertrag mit der EU,Unangenehmer Befund für den Bundesrat: 64 Prozent der Stimmberechtigten unterstützen das institutionelle Abkommen mit der EU.,world,2021-05-08T16:38:13Z
Schweizer Radio und Fernsehen (SRF),Coronavirus in der Schweiz - Bilanz nach 4 Wochen: Was haben die Gratis-Selbsttests gebracht?,"Seit einem Monat sind Selbsttests in der Schweiz erhältlich. Abgeholt worden sind sie, aber ihr Nutzen bleibt ungewiss.",world,2021-05-08T14:52:00Z
BLICK,Super League: Giorgio Contini muss Ende Saison bei Lausanne gehen!,"Er führte Lausanne zurück in die Super League, nun läuft die Zeit von Giorgio Contini (47) im Waadtland ab.",world,2021-05-08T14:46:13Z
Telebasel,Merkel glaubt an Sommerurlaub innerhalb von Europa,"Kanzlerin Angela Merkel (CDU) hat sich optimistisch gezeigt, dass Sommerurlaub in Europa auch für Ungeimpfte möglich sein wird.",world,2021-05-08T14:27:49Z
Schweizer Radio und Fernsehen (SRF),Qualifying in Barcelona - Hamilton holt sich 100. Pole Position seiner Karriere,Lewis Hamilton ist der schnellste Fahrer im Qualifying zum GP von Spanien. Es ist die 100. Pole Position für den Briten.,world,2021-05-08T14:16:00Z
Blick.ch,"Fiona Erdmann meldet sich, nachdem sie ihr Baby in der 18. Woche verlor","Auf Instagram machte die ehemalige «Germany's Next Topmodel»-Kandidatin Fiona Erdmann öffentlich, dass sie ihr Baby in der 18. Schwangerschaftswoche verloren hat. Nun gibt sie ihren Followern ein trauriges Update.",world,2021-05-08T17:48:40Z
Www.nau.ch,Meghan Markle: Experte sieht schwarz für ihr Enthüllungs-Buch,In einer neuen Version von «Finding Freedom» wird Brisantes zu Meghan Markle und Prinz Harry publiziert. Ein Royal-Experte befürchtet Schlimmes.,world,2021-05-08T17:38:01Z
Blick.ch,Super League: FC Lugano - FC Vaduz (08.05.2021),Vaduz holt im Cornaredo drei Punkte und erhöht damit den Druck auf den Tabellenletzten Sion. Für das Highlight des Spiels sorgt Tunahan Cicek mit einem traumhaften Volleytor.,world,2021-05-08T16:08:50Z
Www.srf.ch,Round-up Bundesliga – Dortmund macht Bayern zum Meister – dieses antwortet mit 6:0-Gala,Leipzig unterliegt in Dortmund 2:3 und kann Bayern München nicht mehr aufholen. Diese bezwingen Gladbach deutlich.,world,2021-05-08T15:29:00Z
Telebasel.ch,Zwei Tote bei Flugzeugabsturz in Oberramsern,Ein Kleinflugzeug ist am Samstag in Oberramsern SO abgestürzt. Dabei sind nach Angaben der Kantonspolizei Solothurn zwei Männer gestorben.,world,2021-05-08T14:35:21Z
Www.nzz.ch,Tübigens-OB Boris Palmer: Grüne beraten zu Parteiausschluss - Neue Zürcher Zeitung,Nach seiner Äusserung bei Facebook im Zusammenhang mit dem Ex-Nationalspieler Aogo steht Tübingens Oberbürgermeister wieder einmal in der Kritik. Nun droht dem Grünen-Politiker der Rauswurf aus der Partei.,world,2021-05-08T13:05:33Z
20 Minuten,Formel-Qualifying im Ticker - Hamilton gegen Verstappen – wer holt sich in Portugal die Pole-Position?,Im vierten Formel-Rennen der Saison geht das Duell zwischen Lewis Hamilton und Max Verstappen in die nächste Runde. Der Brite will seine 100. Karriere-Pole.,world,2021-05-08T12:53:25Z
Presseraum.at,Schwarzer Pilz - Neues Symptom bei Diabetikern Covid - presseraum.at,Wir haben weltweit einen Überschuss an Coronavirus-Symptomen und heute müssen wir noch ein weiteres schreckliches Symptom berücksichtigen. Fast 40 Fälle,world,2021-05-08T11:41:55Z
Telebasel.ch,Schweiz Rund 1'500 Personen demonstrieren in Aarau gegen Corona-Massnahmen,Nach Demo-Verbot: Die Polizei hat mit einem Grossaufgebot eine Demonstration gegen die Corona-Massnahmen der Behörden in Aarau verhindern wollen.,world,2021-05-08T11:38:17Z
20 Minuten,"Covid-Zertifikat bis Ende Juni - «Es wird keinen Grund mehr geben, die Freiheiten weiter einzuschränken»","Konzerte besuchen oder quarantänefrei reisen: Mit dem Covid-Zertifikat sind weitere Lockerungen für Geimpfte, Genesene und Getestete möglich.  Doch es gibt Vorbehalte.",world,2021-05-08T10:43:08Z
Blick.ch,Petro Mavromichalis zu Verhandlungen über das Rahmenabkommen Schweiz – EU,Der EU-Botschafter in Bern äussert sich zum Knatsch um das institutionelle Rahmenabkommen. Ohne ein solches werde es keinen Status quo geben bei den Beziehungen der Schweiz mit der EU. Die EU könne nicht alle Sonderwünsche erfüllen.,world,2021-05-08T10:36:18Z
20 Minuten,«Florida Project» - Florida startet umstrittenes Experiment mit mehr als 20 Millionen Gen-Mücken,"Die Biotechfirma Oxitec hat im Sunshine State einen Feldversuch gestartet, der nicht nur auf Begeisterung stösst: Sie hat gentechnisch veränderte Mücken losgelassen. Diese sollen die Ausbreitung der Tigermücke eindämmen.",world,2021-05-08T08:46:05Z
Www.srf.ch,Pokalübergabe des Meisters - Freudentaumel trotz Corona: 5000 feierten den EVZ-Sieg in Zug,Das Fest verlief friedlich. Die Zuger Polizei liess die Fans gewähren: «Ein Eingreifen wäre unverhältnismässig gewesen.»,world,2021-05-08T08:28:00Z
